
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-7,	-8.60,	-2.00,	-5.00,	2.62,	0.00,	42.80,	0.00,	0,	24.88,	5.21,	38
0.00,	-8,	-9.20,	-2.00,	-6.00,	4.00,	0.00,	43.79,	0.00,	0,	26.18,	5.20,	39
0.00,	-5,	-7.40,	-2.00,	-4.00,	-0.27,	0.00,	35.46,	0.00,	0,	25.64,	4.32,	38
0.00,	-4,	-6.60,	-1.00,	-4.00,	2.07,	0.00,	39.08,	0.00,	0,	26.74,	5.03,	36
0.00,	-5,	-5.80,	-1.00,	-3.00,	1.46,	0.00,	40.31,	0.00,	0,	24.75,	5.18,	36
0.00,	-4,	-5.20,	-1.00,	-3.00,	2.59,	0.00,	44.52,	0.00,	0,	27.17,	5.42,	38
0.00,	-5,	-4.60,	-1.00,	-2.00,	0.27,	0.00,	47.97,	0.00,	0,	26.88,	5.55,	40
0.00,	-7,	-5.00,	-1.00,	-3.00,	6.15,	0.00,	37.69,	0.00,	0,	27.61,	4.36,	40
0.00,	-8,	-5.80,	-1.00,	-4.00,	5.17,	0.00,	45.98,	0.00,	0,	26.60,	5.60,	38
0.00,	-4,	-5.60,	0.00,	-4.00,	2.61,	0.00,	49.91,	0.00,	0,	27.78,	5.64,	41
0.00,	-7,	-6.20,	-1.00,	-5.00,	4.77,	0.00,	33.90,	0.00,	0,	28.09,	4.24,	37
0.00,	-6,	-6.40,	-1.00,	-5.00,	2.38,	0.00,	51.63,	0.00,	0,	27.32,	5.83,	41
0.00,	-9,	-6.80,	-1.00,	-5.00,	3.45,	0.00,	39.25,	0.00,	0,	28.25,	5.05,	36
0.00,	-11,	-7.40,	-1.00,	-5.00,	6.84,	0.00,	37.45,	0.00,	0,	27.47,	4.33,	40
0.00,	-6,	-7.80,	-1.00,	-6.00,	3.61,	0.00,	26.31,	0.00,	0,	25.00,	3.29,	37
0.00,	-8,	-8.00,	-1.00,	-6.00,	6.73,	0.00,	41.80,	0.00,	0,	27.93,	5.23,	37
0.00,	-7,	-8.20,	-1.00,	-6.00,	4.02,	0.00,	31.36,	0.00,	0,	26.37,	3.92,	37
0.00,	-7,	-7.80,	-1.00,	-6.00,	2.50,	0.00,	19.66,	0.00,	0,	24.27,	2.46,	37
0.00,	-6,	-6.80,	-1.00,	-4.00,	0.32,	0.00,	38.97,	0.00,	0,	26.74,	4.88,	37
0.00,	-5,	-6.60,	-1.00,	-4.00,	2.39,	0.00,	41.59,	0.00,	0,	23.47,	5.20,	37
0.00,	-1,	-5.20,	-1.00,	-3.00,	-1.73,	0.00,	35.47,	0.00,	0,	25.91,	4.21,	39
0.00,	-6,	-5.00,	-1.00,	-3.00,	1.91,	0.00,	40.75,	0.00,	0,	23.81,	5.24,	36
0.00,	-3,	-4.20,	-1.00,	-2.00,	2.81,	0.00,	39.96,	0.00,	0,	26.18,	4.87,	38
0.00,	-5,	-4.00,	-1.00,	-2.00,	2.02,	0.00,	25.92,	0.00,	0,	27.17,	3.43,	35
0.00,	-4,	-3.80,	-1.00,	-2.00,	0.49,	0.00,	37.63,	0.00,	0,	23.36,	4.98,	35
0.00,	-4,	-4.40,	-1.00,	-2.00,	-1.32,	0.00,	36.99,	0.00,	0,	28.41,	4.51,	38
0.00,	-3,	-3.80,	-1.00,	-2.00,	-0.32,	0.00,	29.71,	0.00,	0,	27.93,	3.72,	37
0.00,	-3,	-3.80,	-1.00,	-1.00,	-1.65,	0.00,	35.43,	0.00,	0,	24.51,	4.56,	36
0.00,	-6,	-4.00,	-2.00,	0.00,	-5.87,	0.00,	33.86,	0.00,	0,	25.03,	4.35,	36
0.00,	-3,	-3.80,	-2.00,	0.00,	-1.70,	0.00,	35.37,	0.00,	0,	24.39,	4.43,	37
0.00,	-7,	-4.40,	-3.00,	0.00,	-6.67,	0.00,	36.68,	0.00,	0,	25.44,	4.59,	37
0.00,	-5,	-4.80,	-3.00,	0.00,	1.62,	0.00,	37.06,	0.00,	0,	23.26,	4.77,	36
0.00,	-6,	-5.40,	-3.00,	-1.00,	0.88,	0.00,	25.10,	0.00,	0,	27.09,	3.06,	38
0.00,	-4,	-5.00,	-2.00,	-2.00,	4.55,	0.00,	37.96,	0.00,	0,	27.32,	4.75,	37
0.00,	-5,	-5.40,	-2.00,	-2.00,	-0.23,	0.00,	43.67,	0.00,	0,	28.25,	5.05,	40
0.00,	-4,	-4.80,	-1.00,	-3.00,	6.34,	0.00,	34.72,	0.00,	0,	26.88,	4.12,	39
0.00,	-4,	-4.60,	-1.00,	-3.00,	-0.05,	0.00,	39.40,	0.00,	0,	26.94,	4.80,	38
0.00,	-5,	-4.40,	-1.00,	-3.00,	0.83,	0.00,	34.29,	0.00,	0,	27.03,	4.54,	35
0.00,	-2,	-4.00,	-1.00,	-2.00,	-0.50,	0.00,	32.69,	0.00,	0,	26.87,	4.09,	37
0.00,	0,	-3.00,	-1.00,	-2.00,	-0.27,	0.00,	40.79,	0.00,	0,	26.88,	5.10,	37
0.00,	-3,	-2.80,	-1.00,	-1.00,	4.04,	0.00,	39.61,	0.00,	0,	23.68,	4.96,	37
0.00,	-3,	-2.60,	0.00,	-1.00,	0.26,	0.00,	36.68,	0.00,	0,	24.04,	4.85,	35
0.00,	-5,	-2.60,	0.00,	-1.00,	0.99,	0.00,	35.76,	0.00,	0,	26.46,	4.73,	35
0.00,	-5,	-3.20,	-1.00,	-2.00,	0.53,	0.00,	25.86,	0.00,	0,	27.18,	3.42,	35
0.00,	-6,	-4.40,	-1.00,	-2.00,	-1.10,	0.00,	41.63,	0.00,	0,	25.00,	5.07,	38
0.00,	-5,	-4.80,	-1.00,	-2.00,	3.48,	0.00,	37.55,	0.00,	0,	24.78,	4.70,	37
0.00,	-4,	-5.00,	-1.00,	-2.00,	0.49,	0.00,	27.92,	0.00,	0,	22.32,	3.80,	34
0.00,	-5,	-5.00,	-2.00,	-2.00,	-4.20,	0.00,	37.02,	0.00,	0,	25.77,	4.63,	37
0.00,	-8,	-5.60,	-3.00,	-1.00,	-4.48,	0.00,	36.36,	0.00,	0,	25.38,	4.55,	37
0.00,	-3,	-5.00,	-2.00,	-1.00,	-0.64,	0.00,	27.43,	0.00,	0,	23.27,	3.63,	35
0.00,	-1,	-4.20,	-2.00,	-1.00,	0.83,	0.00,	34.41,	0.00,	0,	28.41,	4.55,	35
0.00,	-6,	-4.60,	-2.00,	-1.00,	0.16,	0.00,	39.11,	0.00,	0,	26.74,	4.89,	37
0.00,	-3,	-4.20,	-2.00,	-1.00,	-0.50,	0.00,	29.59,	0.00,	0,	24.52,	3.91,	35
0.00,	-2,	-3.00,	-1.00,	-1.00,	-3.68,	0.00,	36.08,	0.00,	0,	28.25,	4.51,	37
