
Right power from force,Vector size

-6.4364,	511
-2.5907,	496
-3.5359,	446
-3.5933,	386
-3.3643,	398
-3.0628,	398
-6.6914,	444
-7.0083,	482
-3.7280,	522
-6.1811,	486
-4.4359,	507
-6.2762,	496
-9.1826,	493
-5.2587,	487
-7.4685,	476
-5.7235,	452
-4.8074,	488
-3.1996,	481
-4.1822,	472
0.1507,	438
-4.3983,	359
-3.1103,	417
-3.7588,	369
-2.4533,	450
-1.5098,	512
-1.6681,	464
-0.9610,	487
-0.2879,	448
-0.9660,	471
-0.3651,	493
-3.3931,	463
-3.5672,	476
-4.5591,	440
-2.7585,	439
-5.6521,	457
-2.0098,	510
-3.2289,	380
-1.2493,	365
-0.3216,	398
-3.6540,	422
-2.0688,	509
-3.2013,	472
-3.2547,	475
-2.5811,	475
-4.6196,	489
-2.3551,	445
-0.6566,	498
-1.7867,	511
-1.3506,	482
-1.1394,	502
-3.4928,	483
-1.4614,	531
0.5922,	412
-0.6944,	396
-3.1018,	393
-2.2761,	402
-1.6136,	515
-1.0554,	469
0.8236,	499
0.3354,	483
-2.0401,	549
-1.7588,	485
-2.0251,	517
-1.0128,	468
-0.7940,	529
0.7824,	501
-0.8558,	437
-0.3967,	479
-1.4174,	436
-0.6383,	376
0.8213,	375
-0.1981,	419
-1.2241,	464
5.1520,	421
-0.1557,	546
