
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-9,	-1.80,	-3.00,	2.00,	1.30,	0.00,	34.37,	0.00,	0,	26.14,	4.42,	36
0.00,	-5,	-3.00,	-3.00,	0.00,	3.30,	0.00,	27.86,	0.00,	0,	28.90,	3.49,	37
0.00,	-7,	-6.00,	-2.00,	-3.00,	1.69,	0.00,	24.98,	0.00,	0,	28.25,	3.21,	36
0.00,	-12,	-7.60,	-2.00,	-4.00,	3.18,	0.00,	36.60,	0.00,	0,	28.57,	4.58,	37
0.00,	-11,	-8.80,	-3.00,	-5.00,	0.38,	0.00,	36.14,	0.00,	0,	25.51,	4.52,	37
0.00,	-10,	-9.00,	-3.00,	-4.00,	-3.17,	0.00,	30.75,	0.00,	0,	26.88,	3.85,	37
0.00,	-7,	-9.40,	-4.00,	-4.00,	0.02,	0.00,	29.83,	0.00,	0,	25.00,	3.73,	37
0.00,	-11,	-10.20,	-4.00,	-4.00,	-2.18,	0.00,	35.41,	0.00,	0,	26.65,	4.55,	36
0.00,	-9,	-9.60,	-5.00,	-4.00,	-1.67,	0.00,	32.80,	0.00,	0,	26.60,	4.00,	38
0.00,	-9,	-9.20,	-5.00,	-3.00,	-3.32,	0.00,	35.70,	0.00,	0,	27.03,	4.24,	39
0.00,	-8,	-8.80,	-4.00,	-3.00,	0.39,	0.00,	44.19,	0.00,	0,	28.74,	5.25,	39
0.00,	-10,	-9.40,	-4.00,	-4.00,	5.05,	0.00,	35.35,	0.00,	0,	22.62,	4.55,	36
0.00,	-9,	-9.00,	-4.00,	-4.00,	1.53,	0.00,	34.72,	0.00,	0,	26.74,	4.73,	34
0.00,	-11,	-9.40,	-3.00,	-5.00,	4.83,	0.00,	35.13,	0.00,	0,	24.39,	4.78,	34
0.00,	-7,	-9.00,	-2.00,	-5.00,	4.78,	0.00,	35.03,	0.00,	0,	22.52,	4.63,	35
0.00,	-4,	-8.20,	-2.00,	-5.00,	-1.28,	0.00,	22.94,	0.00,	0,	25.38,	3.03,	35
0.00,	-4,	-7.00,	-1.00,	-4.00,	3.47,	0.00,	35.49,	0.00,	0,	24.76,	4.56,	36
0.00,	-10,	-7.20,	-2.00,	-4.00,	-5.38,	0.00,	37.24,	0.00,	0,	26.04,	4.66,	37
0.00,	-11,	-7.20,	-3.00,	-3.00,	-3.92,	0.00,	22.98,	0.00,	0,	23.88,	2.88,	37
0.00,	-11,	-8.00,	-4.00,	-3.00,	-0.61,	0.00,	39.77,	0.00,	0,	25.45,	4.98,	37
0.00,	-5,	-8.20,	-4.00,	-3.00,	-0.12,	0.00,	41.26,	0.00,	0,	28.25,	5.31,	36
0.00,	-5,	-8.40,	-5.00,	-2.00,	-3.31,	0.00,	37.34,	0.00,	0,	26.18,	4.43,	39
0.00,	-8,	-8.00,	-3.00,	-3.00,	4.78,	0.00,	42.71,	0.00,	0,	28.09,	5.20,	38
0.00,	-8,	-7.40,	-3.00,	-3.00,	1.38,	0.00,	44.20,	0.00,	0,	26.60,	5.53,	37
0.00,	-7,	-6.60,	-2.00,	-3.00,	-0.36,	0.00,	41.61,	0.00,	0,	24.38,	5.07,	38
0.00,	-9,	-7.40,	-3.00,	-3.00,	1.89,	0.00,	29.89,	0.00,	0,	26.32,	3.84,	36
0.00,	-11,	-8.60,	-3.00,	-4.00,	-0.58,	0.00,	37.50,	0.00,	0,	24.39,	4.82,	36
0.00,	-10,	-9.00,	-4.00,	-4.00,	-1.19,	0.00,	34.48,	0.00,	0,	25.91,	4.43,	36
0.00,	-5,	-8.40,	-4.00,	-3.00,	-4.49,	0.00,	37.62,	0.00,	0,	23.15,	4.84,	36
