
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

-55.9,	201,	302,	60,	18.4739
-55.9,	201,	302,	60,	18.4739
-55.4,	202,	302,	60,	18.4789
-55.2,	203,	302,	60,	18.4839
-55.6,	204,	302,	60,	18.4889
-56.7,	205,	302,	60,	18.4939
-58.4,	205,	302,	60,	18.4989
-55.2,	233,	331,	61,	18.6548
-55.2,	233,	331,	61,	18.6548
-56.1,	234,	331,	61,	18.6599
-56.1,	235,	331,	61,	18.6649
-55.8,	235,	331,	61,	18.6699
-55.4,	236,	331,	61,	18.6749
-56.1,	237,	331,	61,	18.6799
-77.7,	264,	3,	62,	18.8659
-77.7,	264,	3,	62,	18.8659
-77.9,	265,	3,	62,	18.871
-78.4,	266,	3,	62,	18.876
-78.9,	267,	3,	62,	18.881
-78.9,	267,	3,	62,	18.886
-78,	268,	3,	62,	18.8911
-0.7,	296,	36,	63,	19.0771
-0.7,	296,	36,	63,	19.0771
-0.1,	297,	36,	63,	19.0821
2.6,	298,	36,	63,	19.0872
5,	298,	36,	63,	19.0922
6.2,	299,	36,	63,	19.0972
6.6,	300,	36,	63,	19.1023
20.2,	334,	80,	64,	19.3185
20.2,	334,	80,	64,	19.3185
19.1,	335,	80,	64,	19.3235
18.3,	335,	80,	64,	19.3286
17.9,	336,	80,	64,	19.3336
17.7,	337,	80,	64,	19.3386
16.5,	338,	80,	64,	19.3436
37.1,	12,	120,	65,	19.56
37.1,	12,	120,	65,	19.56
38.2,	13,	120,	65,	19.565
38.9,	14,	120,	65,	19.57
40,	14,	120,	65,	19.575
40.5,	15,	120,	65,	19.5803
40.4,	16,	120,	65,	19.585
62.6,	46,	145,	66,	19.771
62.6,	46,	145,	66,	19.771
62.6,	47,	145,	66,	19.776
62.6,	48,	145,	66,	19.7811
63.4,	48,	145,	66,	19.7861
64.8,	49,	145,	66,	19.7911
65.7,	50,	145,	66,	19.7961
52.4,	80,	165,	67,	19.9821
52.4,	80,	165,	67,	19.9821
51.7,	81,	165,	67,	19.9872
49.7,	82,	165,	67,	19.9922
46.6,	83,	165,	67,	19.9972
45.7,	84,	165,	67,	20.0023
44,	85,	165,	67,	20.0073
-44.8,	133,	191,	68,	20.3139
-44.8,	133,	191,	68,	20.3139
-46.4,	133,	191,	68,	20.319
-47.2,	134,	191,	68,	20.324
-48.4,	135,	191,	68,	20.329
-48.9,	135,	191,	68,	20.334
-49.2,	136,	191,	68,	20.3391
-62.2,	158,	224,	69,	20.5252
-62.2,	158,	224,	69,	20.5252
-62,	159,	224,	69,	20.5309
-61.3,	160,	224,	69,	20.5359
-59.6,	161,	224,	69,	20.5409
-58.5,	161,	224,	69,	20.5459
-58.2,	162,	224,	69,	20.5509
-54,	182,	260,	70,	20.7061
-54,	182,	260,	70,	20.7061
-53.3,	182,	260,	70,	20.7112
-53,	183,	260,	70,	20.7162
-52.9,	184,	260,	70,	20.7212
-53.3,	184,	260,	70,	20.7262
-52.5,	185,	260,	70,	20.7313
-60.7,	214,	291,	71,	20.9173
-60.7,	214,	291,	71,	20.9173
-61,	215,	291,	71,	20.9223
-62.2,	216,	291,	71,	20.9273
-62.5,	217,	291,	71,	20.9323
-63.5,	218,	291,	71,	20.9373
-62.6,	219,	291,	71,	20.9424
-61.4,	256,	321,	72,	21.1586
-61.4,	256,	321,	72,	21.1586
-63.3,	257,	321,	72,	21.1636
-63.4,	257,	321,	72,	21.1686
-63.5,	258,	321,	72,	21.1736
-63.2,	259,	321,	72,	21.1787
-63,	259,	321,	72,	21.1837
-14.5,	295,	359,	73,	21.4301
-14.5,	295,	359,	73,	21.4301
-12.5,	296,	359,	73,	21.4352
-10.1,	297,	359,	73,	21.4402
-8.5,	298,	359,	73,	21.4452
-7.4,	299,	359,	73,	21.4503
-4.9,	300,	359,	73,	21.4553
16.5,	325,	42,	74,	21.6111
16.5,	325,	42,	74,	21.6111
16,	326,	42,	74,	21.6161
15.5,	326,	42,	74,	21.6212
14.6,	327,	42,	74,	21.6262
13.8,	328,	42,	74,	21.6312
11.6,	329,	42,	74,	21.6363
21.4,	359,	77,	75,	21.8222
21.4,	359,	77,	75,	21.8222
22.6,	0,	77,	75,	21.8272
23.2,	1,	77,	75,	21.8323
23.8,	2,	77,	75,	21.8372
24,	2,	77,	75,	21.8423
25.2,	3,	77,	75,	21.8474
51.2,	34,	109,	76,	22.0333
51.2,	34,	109,	76,	22.0333
51.7,	35,	109,	76,	22.0384
51.9,	35,	109,	76,	22.0434
52.6,	36,	109,	76,	22.0484
52.7,	37,	109,	76,	22.0534
52.9,	38,	109,	76,	22.0585
54.5,	74,	137,	77,	22.2746
54.5,	74,	137,	77,	22.2746
53.1,	75,	137,	77,	22.2797
52.4,	76,	137,	77,	22.2846
51.6,	77,	137,	77,	22.2897
50.9,	78,	137,	77,	22.2947
50.2,	78,	137,	77,	22.2997
-0.5,	115,	166,	78,	22.5159
-0.5,	115,	166,	78,	22.5159
-2.6,	116,	166,	78,	22.5209
-4.1,	116,	166,	78,	22.5259
-5,	117,	166,	78,	22.5309
-6.3,	118,	166,	78,	22.536
-8.1,	119,	166,	78,	22.541
-58.5,	146,	202,	79,	22.727
-58.5,	146,	202,	79,	22.727
-58.7,	147,	202,	79,	22.732
-60.1,	148,	202,	79,	22.7371
-61.4,	148,	202,	79,	22.7421
-62.5,	149,	202,	79,	22.7471
-63.4,	149,	202,	79,	22.7521
-73.1,	168,	237,	80,	22.9082
-73.1,	168,	237,	80,	22.9082
-72.3,	168,	237,	80,	22.9132
-72.2,	169,	237,	80,	22.9183
-72.2,	169,	237,	80,	22.9233
-71.3,	170,	237,	80,	22.9283
-70.9,	171,	237,	80,	22.9333
-72.6,	194,	266,	81,	23.119
-72.6,	194,	266,	81,	23.119
-72.1,	195,	266,	81,	23.1241
-71.9,	195,	266,	81,	23.1291
-71.9,	196,	266,	81,	23.1341
-71.8,	197,	266,	81,	23.1392
-71.4,	197,	266,	81,	23.1442
-69.1,	233,	295,	82,	23.3604
-69.1,	233,	295,	82,	23.3604
-69.6,	234,	295,	82,	23.3654
-70.4,	234,	295,	82,	23.3704
-69.9,	235,	295,	82,	23.3754
-69,	236,	295,	82,	23.3804
-67.7,	237,	295,	82,	23.3855
-33.2,	277,	334,	83,	23.6317
-33.2,	277,	334,	83,	23.6317
-31.6,	278,	334,	83,	23.6368
-29.1,	279,	334,	83,	23.6418
-26.4,	280,	334,	83,	23.6468
-25.1,	280,	334,	83,	23.6519
-23.9,	281,	334,	83,	23.6569
26.6,	306,	16,	84,	23.8127
26.6,	306,	16,	84,	23.8127
26.6,	307,	16,	84,	23.8178
27.1,	308,	16,	84,	23.8228
28.1,	309,	16,	84,	23.8278
30.2,	310,	16,	84,	23.8328
31.7,	311,	16,	84,	23.8379
14.8,	340,	50,	85,	24.0243
14.8,	340,	50,	85,	24.0243
14,	340,	50,	85,	24.0295
13.6,	341,	50,	85,	24.0343
12.7,	342,	50,	85,	24.0393
11.5,	343,	50,	85,	24.0443
11.2,	343,	50,	85,	24.0493
39.8,	8,	84,	86,	24.2048
39.8,	8,	84,	86,	24.2048
40.6,	9,	84,	86,	24.2098
41,	10,	84,	86,	24.2149
41.7,	10,	84,	86,	24.2199
42,	11,	84,	86,	24.2249
41.6,	12,	84,	86,	24.2301
71.1,	52,	115,	87,	24.4762
71.1,	52,	115,	87,	24.4762
71,	53,	115,	87,	24.4812
70.6,	54,	115,	87,	24.4863
68.9,	55,	115,	87,	24.4913
68.4,	55,	115,	87,	24.4963
69,	56,	115,	87,	24.5013
42.5,	93,	152,	88,	24.7175
42.5,	93,	152,	88,	24.7175
40.4,	94,	152,	88,	24.7225
38.7,	95,	152,	88,	24.7276
37.9,	95,	152,	88,	24.7325
36.8,	96,	152,	88,	24.7376
35.8,	97,	152,	88,	24.7426
-36.7,	127,	184,	89,	24.9285
-36.7,	127,	184,	89,	24.9285
-38.6,	128,	184,	89,	24.9335
-40.1,	129,	184,	89,	24.9386
-41.5,	129,	184,	89,	24.9436
-42.2,	130,	184,	89,	24.9489
-43,	131,	184,	89,	24.9536
-81.6,	150,	212,	90,	25.1095
-81.6,	150,	212,	90,	25.1095
-82.7,	150,	212,	90,	25.1145
-82.5,	150,	212,	90,	25.1195
-82.8,	151,	212,	90,	25.1245
-83.9,	152,	212,	90,	25.1305
-85,	152,	212,	90,	25.1346
-74.1,	171,	244,	91,	25.3206
-74.1,	171,	244,	91,	25.3206
-73.7,	171,	244,	91,	25.3256
-73.2,	172,	244,	91,	25.3307
-73.4,	172,	244,	91,	25.3356
-72.5,	173,	244,	91,	25.3407
-72,	173,	244,	91,	25.3457
-67.9,	198,	277,	92,	25.5318
-67.9,	198,	277,	92,	25.5318
-68.1,	199,	277,	92,	25.5368
-70.2,	200,	277,	92,	25.5418
-71.6,	200,	277,	92,	25.5468
-72.8,	201,	277,	92,	25.5519
-74.2,	202,	277,	92,	25.5569
-65.4,	228,	307,	93,	25.7127
-65.4,	228,	307,	93,	25.7127
-66.7,	229,	307,	93,	25.7177
-66.2,	230,	307,	93,	25.7227
-65.7,	231,	307,	93,	25.7278
-67.1,	232,	307,	93,	25.7328
-67.7,	233,	307,	93,	25.7378
-73.4,	265,	336,	94,	25.9237
-73.4,	265,	336,	94,	25.9237
-73.4,	266,	336,	94,	25.9287
-72.4,	267,	336,	94,	25.9338
-71.1,	267,	336,	94,	25.9388
-69.1,	268,	336,	94,	25.9438
-66.6,	269,	336,	94,	25.9489
-6.3,	294,	8,	95,	26.1046
-6.3,	294,	8,	95,	26.1046
-3.8,	295,	8,	95,	26.1097
-1.2,	295,	8,	95,	26.1147
2,	296,	8,	95,	26.1198
4.1,	297,	8,	95,	26.1248
7.3,	298,	8,	95,	26.1299
22.9,	326,	42,	96,	26.3158
22.9,	326,	42,	96,	26.3158
22.8,	327,	42,	96,	26.3215
22.9,	328,	42,	96,	26.3265
22.8,	329,	42,	96,	26.3315
22.6,	330,	42,	96,	26.3366
21.9,	330,	42,	96,	26.3416
28.9,	4,	85,	97,	26.557
28.9,	4,	85,	97,	26.557
30,	5,	85,	97,	26.562
29.4,	6,	85,	97,	26.567
30,	6,	85,	97,	26.5721
31.1,	7,	85,	97,	26.5771
30.8,	8,	85,	97,	26.5821
68.6,	49,	124,	98,	26.8284
68.6,	49,	124,	98,	26.8284
67.9,	50,	124,	98,	26.8334
67.5,	51,	124,	98,	26.8385
67.8,	51,	124,	98,	26.8435
68.6,	52,	124,	98,	26.8485
68.5,	53,	124,	98,	26.8535
52.5,	80,	155,	99,	27.0094
52.5,	80,	155,	99,	27.0094
51.3,	80,	155,	99,	27.0144
49.3,	81,	155,	99,	27.0194
48.6,	82,	155,	99,	27.0244
48.8,	83,	155,	99,	27.0297
48.6,	84,	155,	99,	27.0345
-14.4,	115,	183,	100,	27.2205
-14.4,	115,	183,	100,	27.2205
-16.5,	116,	183,	100,	27.2255
-18.1,	117,	183,	100,	27.2306
-21,	117,	183,	100,	27.2356
-21.8,	118,	183,	100,	27.2407
-22.4,	119,	183,	100,	27.2456
-67.9,	145,	210,	101,	27.4315
-67.9,	145,	210,	101,	27.4315
-68.7,	145,	210,	101,	27.4366
-70.8,	146,	210,	101,	27.4416
-72,	147,	210,	101,	27.4466
-72.1,	147,	210,	101,	27.4516
-73.2,	148,	210,	101,	27.4567
-63.2,	172,	249,	102,	27.6729
-63.2,	172,	249,	102,	27.6729
-63.4,	173,	249,	102,	27.6779
-62.5,	173,	249,	102,	27.6829
-62.5,	174,	249,	102,	27.6879
-62.8,	175,	249,	102,	27.6929
-64,	175,	249,	102,	27.6979
-61.4,	206,	288,	103,	27.9139
-61.4,	206,	288,	103,	27.9139
-62.5,	207,	288,	103,	27.9189
-63.7,	208,	288,	103,	27.924
-64.5,	208,	288,	103,	27.929
-66.1,	209,	288,	103,	27.934
-65.8,	210,	288,	103,	27.9391
-66.4,	242,	316,	104,	28.125
-66.4,	242,	316,	104,	28.125
-67.7,	243,	316,	104,	28.13
-69,	244,	316,	104,	28.135
-69,	244,	316,	104,	28.14
-69.4,	245,	316,	104,	28.1451
-70.1,	246,	316,	104,	28.1501
-86,	269,	346,	105,	28.3058
-86,	269,	346,	105,	28.3058
-86.4,	269,	346,	105,	28.3109
-86.4,	270,	346,	105,	28.3159
-86.4,	271,	346,	105,	28.3209
-85.1,	271,	346,	105,	28.3259
-84,	272,	346,	105,	28.3309
2.4,	301,	19,	106,	28.5169
2.4,	301,	19,	106,	28.5169
4.2,	301,	19,	106,	28.5219
5.5,	302,	19,	106,	28.5269
6.8,	303,	19,	106,	28.532
8.2,	304,	19,	106,	28.537
10,	305,	19,	106,	28.542
33,	340,	60,	107,	28.7582
33,	340,	60,	107,	28.7582
32.5,	341,	60,	107,	28.7632
32,	342,	60,	107,	28.7682
30.6,	343,	60,	107,	28.7739
30.5,	344,	60,	107,	28.779
30.5,	345,	60,	107,	28.784
57.7,	24,	99,	108,	29.0296
57.7,	24,	99,	108,	29.0296
59.3,	25,	99,	108,	29.0345
60.6,	26,	99,	108,	29.0396
60.6,	26,	99,	108,	29.0446
60.7,	27,	99,	108,	29.0496
61.1,	28,	99,	108,	29.0547
72.8,	54,	130,	109,	29.2104
72.8,	54,	130,	109,	29.2104
72.4,	55,	130,	109,	29.2155
72.9,	56,	130,	109,	29.2205
74.4,	56,	130,	109,	29.2255
75.3,	57,	130,	109,	29.2306
