
Right power from force,Vector size

-5.1594,	69
-4.4366,	71
-4.6622,	74
-7.7368,	76
-6.0526,	76
-3.7895,	76
-4.0000,	76
-4.6316,	76
-3.6812,	69
-3.2237,	76
-4.6543,	81
-7.5513,	78
-5.2821,	78
-8.1833,	60
-5.9091,	55
-1.5161,	62
-4.1129,	62
-2.5663,	83
-3.5789,	76
-5.2319,	69
-2.4605,	76
-1.0658,	76
-6.7391,	69
-4.7895,	76
-3.7632,	76
-5.7681,	69
-5.6842,	76
-4.8026,	76
-0.7237,	76
-4.1129,	62
-0.8548,	62
-3.4032,	62
-8.2742,	62
-5.2237,	76
-3.5000,	76
-8.5217,	69
-5.7500,	76
-8.0658,	76
-3.9474,	76
-5.0000,	76
-3.3133,	83
-4.9474,	76
-5.0526,	76
-3.2763,	76
-2.5395,	76
-3.6522,	69
0.9839,	62
-0.9839,	62
-2.7581,	62
-2.5942,	69
-4.7632,	76
-4.1111,	72
-1.7534,	73
-2.4342,	76
-1.7763,	76
-1.8684,	76
-1.1667,	78
-2.7703,	74
-2.5132,	76
0.1053,	76
-0.0921,	76
-1.7368,	76
1.6935,	62
-0.7091,	55
-2.9032,	62
-4.1273,	55
-2.3421,	76
-3.5301,	83
-1.7971,	69
-2.0976,	82
-4.4603,	63
-0.4819,	83
-3.6711,	76
-3.3188,	69
-2.6053,	76
