
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	0,	1.00,	0.00,	1.00,	-0.45,	0.00,	22.34,	0.00,	0,	25.00,	3.13,	33
0.00,	-6,	-2.40,	-2.00,	0.00,	-2.75,	0.00,	27.76,	0.00,	0,	23.15,	4.02,	32
0.00,	0,	-2.00,	-1.00,	0.00,	-3.12,	0.00,	28.10,	0.00,	0,	25.13,	3.94,	33
0.00,	0,	-1.80,	-1.00,	0.00,	-5.53,	0.00,	28.13,	0.00,	0,	25.00,	3.95,	33
0.00,	0,	-1.20,	-1.00,	0.00,	-0.07,	0.00,	31.12,	0.00,	0,	0.00,	4.24,	34
0.00,	0,	-1.20,	-1.00,	0.00,	-3.46,	0.00,	29.62,	0.00,	0,	26.60,	4.16,	33
0.00,	-5,	-1.00,	-1.00,	1.00,	-6.41,	0.00,	32.33,	0.00,	0,	25.91,	4.40,	34
0.00,	0,	-1.00,	-1.00,	0.00,	-0.92,	0.00,	28.43,	0.00,	0,	26.46,	3.99,	33
0.00,	-4,	-1.80,	-1.00,	0.00,	-3.72,	0.00,	30.99,	0.00,	0,	26.06,	4.22,	34
0.00,	-5,	-2.80,	-2.00,	0.00,	0.38,	0.00,	31.83,	0.00,	0,	27.62,	4.21,	35
0.00,	-3,	-3.40,	-2.00,	0.00,	-2.59,	0.00,	31.09,	0.00,	0,	26.32,	4.23,	34
0.00,	-2,	-2.80,	-1.00,	0.00,	-0.75,	0.00,	27.29,	0.00,	0,	26.88,	3.61,	35
0.00,	-2,	-3.20,	-2.00,	0.00,	-3.43,	0.00,	32.24,	0.00,	0,	26.18,	4.26,	35
0.00,	-4,	-3.20,	-2.00,	0.00,	-2.71,	0.00,	29.90,	0.00,	0,	26.04,	4.07,	34
0.00,	-1,	-2.40,	-1.00,	0.00,	-0.50,	0.00,	19.52,	0.00,	0,	26.60,	2.66,	34
0.00,	-1,	-2.00,	-1.00,	0.00,	-2.81,	0.00,	32.93,	0.00,	0,	26.18,	4.36,	35
0.00,	-2,	-2.00,	-1.00,	0.00,	-2.64,	0.00,	30.02,	0.00,	0,	23.70,	4.09,	34
0.00,	-2,	-2.00,	-1.00,	0.00,	-1.49,	0.00,	25.13,	0.00,	0,	25.66,	3.32,	35
0.00,	-2,	-1.60,	-1.00,	0.00,	-1.95,	0.00,	28.94,	0.00,	0,	24.39,	4.06,	33
0.00,	-3,	-2.00,	-2.00,	0.00,	-2.47,	0.00,	33.31,	0.00,	0,	24.75,	4.28,	36
0.00,	-1,	-2.00,	-2.00,	0.00,	-3.28,	0.00,	19.76,	0.00,	0,	26.88,	2.61,	35
0.00,	1,	-1.40,	-1.00,	0.00,	-2.55,	0.00,	31.37,	0.00,	0,	25.00,	4.27,	34
0.00,	-5,	-2.00,	-2.00,	0.00,	-3.42,	0.00,	32.86,	0.00,	0,	26.18,	4.47,	34
0.00,	-1,	-1.80,	-1.00,	0.00,	1.74,	0.00,	25.98,	0.00,	0,	26.74,	3.44,	35
0.00,	0,	-1.20,	-1.00,	0.00,	-0.96,	0.00,	33.54,	0.00,	0,	25.51,	4.44,	35
0.00,	-5,	-2.00,	-1.00,	0.00,	-1.08,	0.00,	32.61,	0.00,	0,	25.37,	4.31,	35
0.00,	-7,	-3.60,	-2.00,	-1.00,	-3.96,	0.00,	29.35,	0.00,	0,	26.05,	3.88,	35
0.00,	-8,	-4.20,	-2.00,	-1.00,	1.17,	0.00,	36.45,	0.00,	0,	25.31,	4.69,	36
