
Right power from force,Vector size

0.2763,	76
-1.8406,	69
1.8548,	62
3.0645,	62
0.1613,	62
1.8696,	69
0.5921,	76
0.4605,	76
-0.1579,	76
-2.7105,	76
-0.2763,	76
-0.7895,	76
0.6974,	76
-0.9737,	76
-0.4605,	76
0.4079,	76
0.2368,	76
-0.6053,	76
-0.1613,	62
-0.5323,	62
1.0645,	62
2.0000,	62
-1.2029,	69
-1.7105,	76
0.1447,	76
-2.0843,	83
-1.8209,	67
-4.9577,	71
-0.9605,	76
-2.4247,	73
-4.1806,	72
1.8472,	72
-0.5000,	80
-1.2237,	76
-4.7368,	76
-6.5636,	55
-2.4032,	62
-3.3333,	57
-4.7833,	60
-5.1646,	79
-0.5616,	73
-6.0120,	83
-2.7945,	73
-0.3544,	79
-2.6447,	76
-5.1594,	69
-2.6125,	80
-3.2639,	72
-3.0000,	83
0.4638,	69
-1.8193,	83
-1.8065,	62
-5.5645,	62
0.2097,	62
-5.5968,	62
-11.3043,	69
-1.0132,	76
-2.1579,	76
-4.1014,	69
-4.4699,	83
-0.1594,	69
-3.7632,	76
-2.3514,	74
-2.2667,	75
-0.1667,	72
-1.6447,	76
-1.4079,	76
0.7368,	76
-2.6774,	62
-0.8226,	62
-4.8364,	55
-3.6618,	68
-3.2571,	70
-4.4430,	79
