
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-5,	-5.60,	-3.00,	-2.00,	-1.58,	0.00,	30.49,	0.00,	0,	23.70,	4.15,	34
0.00,	1,	-4.00,	-2.00,	-1.00,	-3.44,	0.00,	29.85,	0.00,	0,	24.51,	4.06,	34
0.00,	-4,	-4.20,	-2.00,	-1.00,	-3.22,	0.00,	19.80,	0.00,	0,	24.39,	2.70,	34
0.00,	-5,	-4.20,	-3.00,	-1.00,	-2.84,	0.00,	33.31,	0.00,	0,	25.38,	4.41,	35
0.00,	-1,	-2.80,	-3.00,	0.00,	-7.99,	0.00,	30.60,	0.00,	0,	23.15,	4.17,	34
0.00,	-7,	-3.20,	-3.00,	0.00,	1.45,	0.00,	24.11,	0.00,	0,	23.15,	3.38,	33
0.00,	-4,	-4.20,	-3.00,	0.00,	-3.60,	0.00,	31.27,	0.00,	0,	23.15,	4.26,	34
0.00,	-5,	-4.40,	-3.00,	0.00,	-3.17,	0.00,	24.90,	0.00,	0,	25.64,	3.39,	34
0.00,	-1,	-3.60,	-2.00,	0.00,	-1.23,	0.00,	23.32,	0.00,	0,	25.35,	3.27,	33
0.00,	-2,	-3.80,	-2.00,	-1.00,	-0.74,	0.00,	29.05,	0.00,	0,	23.86,	4.08,	33
0.00,	-3,	-3.00,	-2.00,	0.00,	-2.47,	0.00,	19.63,	0.00,	0,	26.04,	2.75,	33
0.00,	0,	-2.20,	-1.00,	0.00,	-1.15,	0.00,	29.92,	0.00,	0,	26.04,	4.07,	34
0.00,	-2,	-1.60,	-1.00,	0.00,	-1.89,	0.00,	31.63,	0.00,	0,	28.25,	4.18,	35
0.00,	0,	-1.40,	-1.00,	0.00,	-1.99,	0.00,	29.41,	0.00,	0,	23.58,	3.89,	35
0.00,	-4,	-1.80,	-1.00,	0.00,	-2.43,	0.00,	42.54,	0.00,	0,	26.88,	5.05,	39
0.00,	-4,	-2.00,	-1.00,	0.00,	1.16,	0.00,	39.96,	0.00,	0,	29.59,	4.87,	38
0.00,	-2,	-2.40,	-1.00,	0.00,	-3.55,	0.00,	32.19,	0.00,	0,	26.91,	4.03,	37
0.00,	-6,	-3.20,	-2.00,	0.00,	-2.13,	0.00,	42.51,	0.00,	0,	29.76,	5.05,	39
0.00,	-4,	-4.00,	-2.00,	-1.00,	4.41,	0.00,	44.36,	0.00,	0,	29.94,	5.27,	39
0.00,	-5,	-4.20,	-2.00,	-1.00,	-0.32,	0.00,	34.32,	0.00,	0,	26.54,	4.54,	35
0.00,	0,	-3.40,	-2.00,	-1.00,	-4.71,	0.00,	41.37,	0.00,	0,	25.91,	5.18,	37
0.00,	-4,	-3.80,	-2.00,	-1.00,	0.86,	0.00,	42.99,	0.00,	0,	25.91,	5.24,	38
0.00,	-7,	-4.00,	-1.00,	-2.00,	2.04,	0.00,	31.66,	0.00,	0,	19.96,	3.96,	37
0.00,	-6,	-4.40,	-2.00,	-2.00,	1.78,	0.00,	40.92,	0.00,	0,	28.08,	4.86,	39
0.00,	-7,	-4.80,	-2.00,	-2.00,	-0.97,	0.00,	35.96,	0.00,	0,	25.13,	4.76,	35
0.00,	-1,	-5.00,	-2.00,	-2.00,	-1.75,	0.00,	32.10,	0.00,	0,	28.09,	4.02,	37
0.00,	-5,	-5.20,	-2.00,	-2.00,	1.12,	0.00,	33.14,	0.00,	0,	29.76,	4.38,	35
0.00,	-4,	-4.60,	-2.00,	-2.00,	-0.26,	0.00,	31.89,	0.00,	0,	26.74,	4.34,	34
0.00,	-5,	-4.40,	-2.00,	-2.00,	0.33,	0.00,	23.06,	0.00,	0,	24.70,	3.14,	34
0.00,	-1,	-3.20,	-1.00,	-1.00,	-4.49,	0.00,	30.76,	0.00,	0,	25.87,	4.19,	34
0.00,	-1,	-3.20,	-1.00,	-1.00,	-1.77,	0.00,	30.90,	0.00,	0,	24.88,	4.21,	34
0.00,	-4,	-3.00,	-2.00,	0.00,	-3.57,	0.00,	25.45,	0.00,	0,	25.38,	3.37,	35
0.00,	-2,	-2.60,	-2.00,	0.00,	0.01,	0.00,	33.91,	0.00,	0,	26.84,	4.49,	35
0.00,	-3,	-2.20,	-2.00,	0.00,	-1.46,	0.00,	31.09,	0.00,	0,	27.32,	4.11,	35
0.00,	-1,	-2.20,	-2.00,	0.00,	-2.94,	0.00,	25.23,	0.00,	0,	27.47,	3.44,	34
0.00,	0,	-2.00,	-2.00,	0.00,	-3.10,	0.00,	25.72,	0.00,	0,	24.27,	3.61,	33
0.00,	-3,	-1.80,	-2.00,	0.00,	-5.33,	0.00,	31.48,	0.00,	0,	24.39,	4.29,	34
0.00,	-1,	-1.60,	-2.00,	0.00,	-0.27,	0.00,	22.74,	0.00,	0,	22.94,	3.29,	32
0.00,	-7,	-2.40,	-2.00,	0.00,	-3.38,	0.00,	29.15,	0.00,	0,	23.88,	4.09,	33
0.00,	-1,	-2.40,	-2.00,	0.00,	-4.44,	0.00,	30.61,	0.00,	0,	25.82,	4.17,	34
0.00,	-3,	-3.00,	-2.00,	0.00,	0.51,	0.00,	22.71,	0.00,	0,	26.32,	3.19,	33
0.00,	0,	-2.40,	-2.00,	0.00,	-6.76,	0.00,	29.01,	0.00,	0,	26.31,	4.07,	33
0.00,	-2,	-2.60,	-2.00,	0.00,	-1.46,	0.00,	30.29,	0.00,	0,	23.82,	4.12,	34
0.00,	-3,	-1.80,	-2.00,	0.00,	-2.80,	0.00,	18.71,	0.00,	0,	23.59,	2.55,	34
0.00,	-3,	-2.20,	-2.00,	0.00,	-3.32,	0.00,	30.65,	0.00,	0,	25.25,	4.17,	34
0.00,	-4,	-2.40,	-2.00,	0.00,	-2.89,	0.00,	31.36,	0.00,	0,	25.77,	4.27,	34
0.00,	-2,	-2.80,	-2.00,	0.00,	-2.22,	0.00,	18.75,	0.00,	0,	27.59,	2.48,	35
0.00,	-1,	-2.60,	-2.00,	0.00,	-1.41,	0.00,	29.79,	0.00,	0,	26.88,	4.06,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	-5.85,	0.00,	29.03,	0.00,	0,	25.00,	4.07,	33
0.00,	-1,	-1.80,	-2.00,	0.00,	-1.56,	0.00,	20.78,	0.00,	0,	26.46,	2.83,	34
0.00,	-4,	-1.80,	-1.00,	0.00,	-1.07,	0.00,	31.09,	0.00,	0,	24.97,	4.23,	34
0.00,	-2,	-1.80,	-1.00,	0.00,	-3.60,	0.00,	32.48,	0.00,	0,	25.90,	4.30,	35
0.00,	-4,	-2.40,	-2.00,	0.00,	-3.12,	0.00,	20.99,	0.00,	0,	25.13,	2.86,	34
0.00,	0,	-2.20,	-2.00,	0.00,	-3.13,	0.00,	30.62,	0.00,	0,	22.83,	4.17,	34
0.00,	-3,	-2.60,	-2.00,	0.00,	-1.54,	0.00,	28.74,	0.00,	0,	23.26,	4.03,	33
0.00,	-4,	-2.60,	-2.00,	0.00,	-4.62,	0.00,	17.55,	0.00,	0,	26.88,	2.46,	33
0.00,	-3,	-2.80,	-2.00,	0.00,	-1.82,	0.00,	29.92,	0.00,	0,	23.58,	4.20,	33
0.00,	-2,	-2.40,	-2.00,	0.00,	-5.04,	0.00,	28.91,	0.00,	0,	25.64,	4.06,	33
0.00,	-2,	-2.80,	-2.00,	0.00,	-0.59,	0.00,	24.28,	0.00,	0,	25.64,	3.41,	33
0.00,	-1,	-2.40,	-2.00,	0.00,	-4.87,	0.00,	32.66,	0.00,	0,	26.74,	4.32,	35
0.00,	-2,	-2.00,	-2.00,	0.00,	-0.48,	0.00,	30.79,	0.00,	0,	25.13,	4.19,	34
0.00,	-3,	-2.00,	-2.00,	0.00,	-1.52,	0.00,	32.04,	0.00,	0,	26.92,	4.24,	35
0.00,	-2,	-2.00,	-1.00,	0.00,	-3.02,	0.00,	32.39,	0.00,	0,	26.74,	4.28,	35
0.00,	-3,	-2.20,	-2.00,	0.00,	-1.86,	0.00,	30.82,	0.00,	0,	24.51,	4.20,	34
0.00,	-3,	-2.60,	-2.00,	0.00,	-5.35,	0.00,	29.05,	0.00,	0,	26.88,	4.08,	33
0.00,	-2,	-2.60,	-2.00,	0.00,	-1.87,	0.00,	29.37,	0.00,	0,	23.81,	4.12,	33
0.00,	-3,	-2.60,	-2.00,	0.00,	-2.95,	0.00,	24.15,	0.00,	0,	25.77,	3.39,	33
0.00,	-3,	-2.80,	-2.00,	0.00,	-0.37,	0.00,	29.88,	0.00,	0,	25.38,	4.07,	34
0.00,	-1,	-2.40,	-2.00,	0.00,	-3.47,	0.00,	30.23,	0.00,	0,	25.13,	4.12,	34
0.00,	-4,	-2.60,	-2.00,	0.00,	-3.02,	0.00,	23.72,	0.00,	0,	23.16,	3.33,	33
0.00,	-2,	-2.60,	-2.00,	0.00,	-2.74,	0.00,	26.83,	0.00,	0,	27.32,	3.65,	34
0.00,	-3,	-2.60,	-2.00,	0.00,	-3.84,	0.00,	30.01,	0.00,	0,	25.51,	4.09,	34
0.00,	-1,	-2.20,	-2.00,	0.00,	-4.41,	0.00,	24.97,	0.00,	0,	26.60,	3.40,	34
0.00,	-4,	-2.80,	-2.00,	0.00,	0.76,	0.00,	30.39,	0.00,	0,	26.04,	4.14,	34
0.00,	-3,	-2.60,	-2.00,	0.00,	-1.54,	0.00,	30.51,	0.00,	0,	26.88,	4.15,	34
0.00,	-1,	-2.40,	-2.00,	0.00,	-1.77,	0.00,	29.74,	0.00,	0,	27.03,	4.05,	34
