
Right power from force,Vector size

2.3631,	471
-0.8251,	526
-1.2222,	540
3.3598,	378
-4.2753,	425
-0.3844,	346
-1.0697,	488
0.0747,	549
-1.0757,	555
-0.5858,	548
0.5451,	565
-0.5420,	559
0.5974,	539
-0.9347,	567
-2.7848,	525
0.6316,	475
-1.9857,	559
-4.4404,	520
-2.7174,	559
2.3404,	426
-2.6135,	489
-4.8977,	430
-4.0821,	487
-3.0943,	509
0.1412,	439
-3.0716,	545
-2.2211,	493
-2.9918,	487
1.3141,	503
0.0191,	575
-0.4421,	561
-1.2114,	563
-1.1482,	560
0.7966,	536
1.7335,	469
1.1531,	542
-0.7460,	437
-2.0393,	433
1.5845,	438
-2.2495,	477
3.6921,	471
-0.6293,	526
-0.3686,	472
0.0400,	550
-0.8484,	554
-0.1975,	567
-0.2377,	530
2.0071,	420
-0.0947,	549
-1.7390,	502
0.6561,	535
-0.8893,	551
1.8293,	375
-0.8770,	382
0.2010,	418
-0.6697,	445
1.5070,	430
-0.8283,	501
1.4774,	553
-0.9303,	545
-0.8534,	491
0.1013,	523
-0.8287,	537
0.9132,	484
-0.1141,	526
-0.0793,	479
-1.7846,	506
0.7630,	557
-0.5540,	556
0.1167,	480
0.1029,	476
1.3551,	428
-2.5090,	389
-1.2274,	563
0.0000,	568
