
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

14.5,	136,	69,	71,	18.3152
14.5,	136,	69,	71,	18.3152
13.5,	137,	71,	71,	18.3202
14,	137,	71,	71,	18.3251
14,	138,	71,	71,	18.3301
14.7,	139,	71,	71,	18.3351
14.7,	140,	71,	71,	18.34
-17,	172,	116,	72,	18.554
-17,	172,	116,	72,	18.554
-17.4,	173,	116,	72,	18.559
-19,	174,	116,	72,	18.564
-20.7,	174,	116,	72,	18.569
-22.6,	175,	116,	72,	18.574
-24.6,	176,	116,	72,	18.5791
-63.3,	213,	156,	73,	18.8224
-63.3,	213,	156,	73,	18.8224
-63.6,	214,	156,	73,	18.8274
-64.6,	215,	156,	73,	18.8324
-65.3,	215,	156,	73,	18.8373
-65.5,	216,	156,	73,	18.8423
-65.7,	217,	156,	73,	18.8473
-51.4,	246,	187,	74,	19.0312
-51.4,	246,	187,	74,	19.0312
-51,	247,	187,	74,	19.0362
-50.3,	248,	187,	74,	19.0412
-49.5,	248,	187,	74,	19.0462
-49.1,	249,	187,	74,	19.0511
-49.1,	250,	187,	74,	19.0561
-41.4,	275,	219,	75,	19.2102
-41.4,	275,	219,	75,	19.2102
-41.2,	276,	219,	75,	19.2152
-40.7,	276,	219,	75,	19.2202
-40.6,	277,	219,	75,	19.2251
-40.6,	278,	219,	75,	19.2301
-40.2,	279,	219,	75,	19.2351
-21.9,	308,	253,	76,	19.419
-21.9,	308,	253,	76,	19.419
-21.5,	308,	253,	76,	19.424
-21.3,	309,	253,	76,	19.429
-21.5,	310,	253,	76,	19.4339
-21.4,	311,	253,	76,	19.4389
-21.4,	311,	253,	76,	19.4438
0.2,	345,	290,	77,	19.6576
0.2,	345,	290,	77,	19.6576
0.5,	345,	290,	77,	19.6625
2,	346,	290,	77,	19.6675
3,	347,	290,	77,	19.6725
4.5,	348,	290,	77,	19.6774
5,	348,	290,	77,	19.6824
32.7,	26,	327,	78,	19.9259
32.7,	26,	327,	78,	19.9259
33.4,	27,	327,	78,	19.9308
34.4,	27,	327,	78,	19.9358
34.7,	28,	327,	78,	19.9408
34.7,	29,	327,	78,	19.9457
34.5,	30,	327,	78,	19.9507
43.7,	55,	356,	79,	20.1055
43.7,	55,	356,	79,	20.1055
43.1,	55,	356,	79,	20.1105
42.5,	56,	356,	79,	20.1154
42.2,	56,	356,	79,	20.1197
42,	57,	356,	79,	20.1247
41.8,	58,	356,	79,	20.1298
37.2,	87,	29,	80,	20.3135
37.2,	87,	29,	80,	20.3135
37,	88,	29,	80,	20.3185
36.9,	89,	29,	80,	20.3235
36.2,	89,	29,	80,	20.3285
35.5,	90,	29,	80,	20.3334
34.4,	91,	29,	80,	20.3384
29,	118,	76,	81,	20.5222
29,	118,	76,	81,	20.5222
28.9,	119,	76,	81,	20.5272
28.9,	120,	76,	81,	20.5321
28.4,	121,	76,	81,	20.5371
28,	121,	76,	81,	20.5421
28,	122,	76,	81,	20.5471
5.2,	154,	113,	82,	20.7611
5.2,	154,	113,	82,	20.7611
4.7,	155,	113,	82,	20.7661
3.5,	156,	113,	82,	20.7711
1.7,	157,	113,	82,	20.7761
0,	157,	113,	82,	20.7811
-0.9,	158,	113,	82,	20.7861
-58,	195,	143,	83,	21.029
-58,	195,	143,	83,	21.029
-58.9,	196,	143,	83,	21.034
-60.1,	196,	143,	83,	21.0389
-60.2,	197,	143,	83,	21.0439
-60.3,	198,	143,	83,	21.0489
-60.5,	199,	143,	83,	21.0539
-63.8,	223,	173,	84,	21.2079
-63.8,	223,	173,	84,	21.2079
-62.8,	224,	173,	84,	21.2128
-61.5,	225,	173,	84,	21.2178
-61.3,	225,	173,	84,	21.2227
-60.8,	226,	173,	84,	21.2277
-60.5,	227,	173,	84,	21.2327
-46.2,	256,	203,	85,	21.4168
-46.2,	256,	203,	85,	21.4168
-45.3,	257,	203,	85,	21.4218
-45.1,	258,	203,	85,	21.4267
-44.6,	259,	203,	85,	21.4318
-42.8,	260,	203,	85,	21.4368
-42.6,	261,	203,	85,	21.4418
-32.5,	290,	242,	86,	21.6252
-32.5,	290,	242,	86,	21.6252
-32.2,	290,	242,	86,	21.6302
-31.2,	291,	242,	86,	21.6351
-31,	292,	242,	86,	21.6401
-30.5,	293,	242,	86,	21.6451
-29.5,	294,	242,	86,	21.65
-0.3,	338,	280,	87,	21.9233
-0.3,	338,	280,	87,	21.9233
0.3,	339,	280,	87,	21.9283
2.1,	340,	280,	87,	21.9333
2.7,	340,	280,	87,	21.9383
4.7,	341,	280,	87,	21.9432
6.9,	342,	280,	87,	21.9482
32.1,	15,	308,	88,	22.1624
32.1,	15,	308,	88,	22.1624
32,	16,	308,	88,	22.1675
32,	17,	308,	88,	22.1725
31.9,	17,	308,	88,	22.1775
32.1,	18,	308,	88,	22.1825
31.8,	19,	308,	88,	22.1874
40.9,	48,	337,	89,	22.3706
40.9,	48,	337,	89,	22.3706
41.5,	49,	337,	89,	22.3756
41.4,	50,	337,	89,	22.3806
40.7,	51,	337,	89,	22.3855
40.8,	52,	337,	89,	22.3905
40.5,	52,	337,	89,	22.3955
40.6,	82,	15,	90,	22.5796
40.6,	82,	15,	90,	22.5796
39.6,	83,	15,	90,	22.5844
39.3,	84,	15,	90,	22.5894
39,	85,	15,	90,	22.5943
38.8,	85,	15,	90,	22.5993
38.5,	86,	15,	90,	22.6042
29.6,	120,	55,	91,	22.8181
29.6,	120,	55,	91,	22.8181
29.5,	120,	55,	91,	22.8231
28.6,	121,	55,	91,	22.8281
28.4,	122,	55,	91,	22.8331
27.9,	123,	55,	91,	22.8381
27.6,	123,	55,	91,	22.8431
3.9,	156,	87,	92,	23.0566
3.9,	156,	87,	92,	23.0566
2.1,	157,	87,	92,	23.0616
0.2,	157,	87,	92,	23.0665
-0.3,	158,	87,	92,	23.0715
-1.3,	159,	87,	92,	23.0765
-1.8,	160,	87,	92,	23.0815
-47.1,	188,	118,	93,	23.2653
-47.1,	188,	118,	93,	23.2653
-47.5,	189,	118,	93,	23.2702
-49,	190,	118,	93,	23.2752
-50,	191,	118,	93,	23.2802
-51,	192,	118,	93,	23.2851
-52.8,	192,	118,	93,	23.2901
-63.6,	222,	149,	94,	23.4739
-63.6,	222,	149,	94,	23.4739
-64.2,	223,	149,	94,	23.4788
-63.9,	223,	149,	94,	23.4839
-63.2,	224,	149,	94,	23.4888
-63.1,	225,	149,	94,	23.4939
-62.5,	226,	149,	94,	23.4988
-43.4,	255,	189,	95,	23.6825
-43.4,	255,	189,	95,	23.6825
-42.8,	255,	189,	95,	23.6874
-41.7,	256,	189,	95,	23.6924
-41,	257,	189,	95,	23.6974
-39.7,	258,	189,	95,	23.7023
-39.5,	259,	189,	95,	23.7073
-24.3,	308,	230,	96,	24.0102
-24.3,	308,	230,	96,	24.0102
-23,	309,	230,	96,	24.0152
-22.5,	310,	230,	96,	24.0202
-23.1,	311,	230,	96,	24.0251
-22.8,	311,	230,	96,	24.0302
-22.8,	312,	230,	96,	24.0351
-3.5,	341,	261,	97,	24.2195
-3.5,	341,	261,	97,	24.2195
-2.8,	342,	261,	97,	24.2245
-2.1,	343,	261,	97,	24.2296
-2.1,	344,	261,	97,	24.2345
-0.6,	345,	261,	97,	24.2395
1.1,	345,	261,	97,	24.2445
26.5,	13,	292,	98,	24.4276
26.5,	13,	292,	98,	24.4276
27.1,	14,	292,	98,	24.4326
27.9,	14,	292,	98,	24.4375
28.1,	15,	292,	98,	24.4425
28.3,	16,	292,	98,	24.4475
28.4,	17,	292,	98,	24.4525
31.3,	41,	329,	99,	24.6065
31.3,	41,	329,	99,	24.6065
32.3,	42,	329,	99,	24.6115
31.8,	43,	329,	99,	24.6164
31.7,	44,	329,	99,	24.6214
31.3,	44,	329,	99,	24.6263
30.3,	45,	329,	99,	24.6313
36.6,	86,	8,	100,	24.8751
36.6,	86,	8,	100,	24.8751
36.2,	86,	8,	100,	24.8803
36.1,	87,	8,	100,	24.8851
36,	88,	8,	100,	24.8901
35.5,	89,	8,	100,	24.8951
35.2,	90,	8,	100,	24.9001
18.6,	121,	49,	101,	25.1133
18.6,	121,	49,	101,	25.1133
18,	122,	49,	101,	25.1183
17.9,	122,	49,	101,	25.1232
17.3,	123,	49,	101,	25.1282
17.8,	124,	49,	101,	25.1332
17.9,	125,	49,	101,	25.1381
3.5,	153,	81,	102,	25.322
3.5,	153,	81,	102,	25.322
3.2,	153,	81,	102,	25.3269
3.1,	154,	81,	102,	25.3319
1.7,	155,	81,	102,	25.3369
0.6,	155,	81,	102,	25.3418
0.3,	156,	81,	102,	25.3468
-30.4,	184,	110,	103,	25.5308
-30.4,	184,	110,	103,	25.5308
-32.2,	185,	110,	103,	25.5358
-32.2,	185,	110,	103,	25.5407
-32.8,	186,	110,	103,	25.5458
-32.9,	187,	110,	103,	25.5508
-32.8,	188,	110,	103,	25.5558
-55,	211,	140,	104,	25.7096
-55,	211,	140,	104,	25.7096
-55.3,	212,	140,	104,	25.7146
-56.8,	213,	140,	104,	25.7196
-57.4,	213,	140,	104,	25.7245
-57.4,	214,	140,	104,	25.7297
-58,	215,	140,	104,	25.7345
-38.6,	258,	178,	105,	26.0078
