
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-2,	-1.40,	-2.00,	0.00,	-4.62,	0.00,	28.51,	0.00,	0,	25.52,	4.00,	33
0.00,	0,	-1.00,	-2.00,	1.00,	-5.11,	0.00,	28.61,	0.00,	0,	24.39,	4.01,	33
0.00,	0,	-1.00,	-2.00,	1.00,	-5.53,	0.00,	17.24,	0.00,	0,	25.38,	2.49,	32
0.00,	-2,	-1.00,	-2.00,	1.00,	-3.74,	0.00,	27.57,	0.00,	0,	23.91,	3.99,	32
0.00,	0,	-0.80,	-2.00,	1.00,	-4.79,	0.00,	27.86,	0.00,	0,	24.16,	4.03,	32
0.00,	1,	-0.20,	-2.00,	2.00,	-7.16,	0.00,	24.19,	0.00,	0,	23.81,	3.39,	33
0.00,	-3,	-0.80,	-2.00,	1.00,	-0.66,	0.00,	27.22,	0.00,	0,	24.15,	3.94,	32
0.00,	-1,	-1.00,	-2.00,	1.00,	-3.87,	0.00,	29.68,	0.00,	0,	25.13,	4.04,	34
0.00,	2,	-0.20,	-2.00,	2.00,	-6.72,	0.00,	27.47,	0.00,	0,	23.70,	3.85,	33
0.00,	1,	0.00,	-1.00,	2.00,	-4.67,	0.00,	30.31,	0.00,	0,	24.15,	4.25,	33
0.00,	-2,	-0.60,	-1.00,	1.00,	-0.60,	0.00,	30.76,	0.00,	0,	23.81,	4.19,	34
0.00,	-8,	-1.60,	-1.00,	0.00,	1.41,	0.00,	23.94,	0.00,	0,	24.39,	3.36,	33
0.00,	0,	-1.40,	-1.00,	0.00,	-3.19,	0.00,	28.63,	0.00,	0,	23.51,	4.02,	33
0.00,	-2,	-2.20,	-1.00,	0.00,	-3.19,	0.00,	33.92,	0.00,	0,	24.27,	4.24,	37
0.00,	-1,	-2.60,	-1.00,	0.00,	-3.33,	0.00,	24.68,	0.00,	0,	24.40,	3.46,	33
0.00,	0,	-2.20,	-2.00,	0.00,	-5.37,	0.00,	29.47,	0.00,	0,	24.27,	4.13,	33
0.00,	-3,	-1.20,	-2.00,	0.00,	-4.04,	0.00,	28.43,	0.00,	0,	25.64,	3.99,	33
0.00,	0,	-1.20,	-2.00,	1.00,	-4.16,	0.00,	24.16,	0.00,	0,	24.27,	3.39,	33
0.00,	-3,	-1.40,	-2.00,	1.00,	-2.08,	0.00,	30.40,	0.00,	0,	25.58,	4.14,	34
0.00,	1,	-1.00,	-2.00,	1.00,	-5.40,	0.00,	23.75,	0.00,	0,	24.88,	3.23,	34
0.00,	-1,	-1.20,	-2.00,	1.00,	-3.33,	0.00,	27.22,	0.00,	0,	23.98,	3.94,	32
0.00,	-3,	-1.20,	-2.00,	1.00,	-3.35,	0.00,	30.48,	0.00,	0,	23.81,	4.15,	34
0.00,	0,	-1.20,	-1.00,	0.00,	-1.93,	0.00,	30.57,	0.00,	0,	25.13,	4.16,	34
0.00,	-2,	-1.00,	-1.00,	0.00,	-4.37,	0.00,	27.11,	0.00,	0,	24.39,	3.92,	32
0.00,	-1,	-1.40,	-2.00,	0.00,	-2.77,	0.00,	29.45,	0.00,	0,	24.15,	4.13,	33
0.00,	-2,	-1.60,	-2.00,	0.00,	-4.18,	0.00,	18.94,	0.00,	0,	23.61,	2.74,	32
0.00,	-1,	-1.20,	-2.00,	0.00,	-5.01,	0.00,	29.03,	0.00,	0,	25.25,	4.07,	33
0.00,	-1,	-1.40,	-2.00,	0.00,	-4.29,	0.00,	29.84,	0.00,	0,	24.39,	4.19,	33
0.00,	-3,	-1.60,	-2.00,	0.00,	-4.59,	0.00,	27.50,	0.00,	0,	25.64,	3.98,	32
0.00,	-1,	-1.60,	-2.00,	0.00,	-1.81,	0.00,	30.30,	0.00,	0,	26.74,	4.13,	34
0.00,	-1,	-1.40,	-2.00,	0.00,	-3.64,	0.00,	29.29,	0.00,	0,	25.73,	3.99,	34
0.00,	-1,	-1.40,	-2.00,	0.00,	-4.34,	0.00,	23.89,	0.00,	0,	25.00,	3.35,	33
0.00,	0,	-1.20,	-2.00,	0.00,	-2.08,	0.00,	29.93,	0.00,	0,	24.82,	4.08,	34
0.00,	-3,	-1.20,	-2.00,	0.00,	-5.32,	0.00,	22.12,	0.00,	0,	24.20,	3.20,	32
