
Right power from force,Vector size

1.2182,	472
2.3716,	409
2.8047,	512
0.7446,	509
2.5821,	469
4.1816,	446
-1.4153,	472
1.1067,	431
4.4806,	387
3.0934,	364
-0.9950,	401
-5.0440,	432
1.1996,	511
0.4085,	470
0.7362,	542
3.0845,	509
0.5028,	539
2.0656,	488
-0.8929,	439
3.5592,	490
0.7092,	533
-0.0539,	519
1.0244,	533
0.8018,	545
0.5049,	406
0.7892,	465
1.5875,	417
1.4664,	491
0.7129,	526
0.0669,	538
1.0581,	551
1.2851,	498
0.8336,	547
1.1100,	509
0.6834,	518
0.3409,	572
2.5470,	532
0.7504,	561
0.6043,	556
1.0150,	534
-0.1109,	568
2.2039,	412
-3.1767,	464
1.1039,	433
-1.3278,	482
0.5514,	564
1.2977,	561
0.4843,	541
1.3977,	513
0.2972,	545
0.4758,	557
1.4018,	550
0.2546,	538
2.3808,	520
-1.4160,	512
2.0036,	549
1.5230,	501
0.7465,	434
-0.8392,	423
0.0681,	426
-2.0417,	408
0.6728,	486
0.9541,	545
-0.0760,	526
0.2928,	485
0.9125,	560
2.5955,	440
1.2715,	523
0.0259,	463
1.2901,	548
0.9596,	544
0.9014,	487
1.7979,	475
0.9775,	489
0.6723,	412
0.4628,	376
