
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	0.00,	-2.82,	-0.94,	-1.88,	0.00,	31.14,	0.00,	0,	23.92,	4.24,	34
0.00,	-2,	-0.80,	-1.00,	0.00,	-2.13,	0.00,	29.92,	0.00,	0,	25.13,	4.07,	34
0.00,	-4,	-3.00,	-3.00,	0.00,	-5.37,	0.00,	24.95,	0.00,	0,	24.80,	3.40,	34
0.00,	-3,	-3.00,	-3.00,	0.00,	-3.41,	0.00,	30.55,	0.00,	0,	25.25,	4.16,	34
0.00,	-1,	-2.60,	-2.00,	0.00,	-2.80,	0.00,	32.30,	0.00,	0,	26.04,	4.27,	35
0.00,	-3,	-2.60,	-2.00,	0.00,	-2.82,	0.00,	32.55,	0.00,	0,	25.64,	4.31,	35
0.00,	-2,	-2.60,	-2.00,	0.00,	-1.92,	0.00,	34.17,	0.00,	0,	25.60,	4.39,	36
0.00,	-3,	-2.40,	-2.00,	0.00,	-2.92,	0.00,	25.89,	0.00,	0,	25.13,	3.42,	35
0.00,	-4,	-2.60,	-2.00,	0.00,	-2.61,	0.00,	33.26,	0.00,	0,	24.15,	4.40,	35
0.00,	-6,	-3.60,	-3.00,	0.00,	-3.26,	0.00,	29.89,	0.00,	0,	25.25,	4.19,	33
0.00,	-5,	-4.00,	-3.00,	0.00,	0.91,	0.00,	26.54,	0.00,	0,	23.70,	3.61,	34
0.00,	-3,	-4.20,	-3.00,	0.00,	-6.41,	0.00,	31.26,	0.00,	0,	24.15,	4.26,	34
0.00,	-3,	-4.20,	-3.00,	0.00,	-2.16,	0.00,	32.33,	0.00,	0,	26.60,	4.28,	35
0.00,	0,	-3.40,	-3.00,	0.00,	-4.17,	0.00,	28.08,	0.00,	0,	25.00,	3.82,	34
0.00,	-1,	-2.40,	-2.00,	0.00,	-1.32,	0.00,	31.65,	0.00,	0,	25.51,	4.31,	34
0.00,	-1,	-1.60,	-2.00,	0.00,	-4.22,	0.00,	25.13,	0.00,	0,	25.00,	3.42,	34
0.00,	3,	-0.40,	-1.00,	1.00,	-5.92,	0.00,	31.81,	0.00,	0,	24.51,	4.33,	34
0.00,	0,	0.20,	-1.00,	1.00,	-0.86,	0.00,	32.56,	0.00,	0,	24.15,	4.43,	34
0.00,	-5,	-0.80,	-1.00,	0.00,	-0.73,	0.00,	21.40,	0.00,	0,	23.58,	2.91,	34
0.00,	-3,	-1.20,	-1.00,	0.00,	-0.05,	0.00,	31.90,	0.00,	0,	24.27,	4.34,	34
0.00,	-3,	-1.60,	-1.00,	0.00,	-3.90,	0.00,	30.81,	0.00,	0,	24.75,	4.32,	33
0.00,	-1,	-2.40,	-1.00,	0.00,	-2.17,	0.00,	18.33,	0.00,	0,	24.51,	2.57,	33
0.00,	-4,	-3.20,	-2.00,	0.00,	-4.32,	0.00,	29.51,	0.00,	0,	25.51,	4.14,	33
0.00,	-3,	-2.80,	-2.00,	0.00,	-0.50,	0.00,	25.20,	0.00,	0,	24.88,	3.54,	33
0.00,	0,	-2.20,	-2.00,	0.00,	-3.08,	0.00,	31.09,	0.00,	0,	24.88,	4.23,	34
0.00,	-5,	-2.60,	-2.00,	0.00,	-2.35,	0.00,	32.34,	0.00,	0,	27.47,	4.28,	35
0.00,	-2,	-2.80,	-2.00,	0.00,	-2.35,	0.00,	26.44,	0.00,	0,	25.38,	3.50,	35
0.00,	-1,	-2.20,	-2.00,	0.00,	-4.13,	0.00,	33.07,	0.00,	0,	25.38,	4.37,	35
0.00,	-3,	-2.20,	-2.00,	0.00,	-2.85,	0.00,	30.09,	0.00,	0,	23.47,	4.22,	33
0.00,	-5,	-3.20,	-2.00,	0.00,	-2.91,	0.00,	18.92,	0.00,	0,	25.00,	2.65,	33
0.00,	0,	-2.20,	-2.00,	0.00,	-3.38,	0.00,	30.55,	0.00,	0,	26.45,	4.16,	34
0.00,	0,	-1.80,	-2.00,	0.00,	-2.13,	0.00,	24.44,	0.00,	0,	25.64,	3.33,	34
0.00,	0,	-1.60,	-2.00,	0.00,	-3.61,	0.00,	29.81,	0.00,	0,	26.60,	4.18,	33
0.00,	-2,	-1.40,	-2.00,	0.00,	-3.45,	0.00,	29.99,	0.00,	0,	25.64,	4.21,	33
0.00,	-2,	-0.80,	-1.00,	0.00,	-0.99,	0.00,	25.45,	0.00,	0,	23.72,	3.57,	33
0.00,	-2,	-1.20,	-1.00,	0.00,	0.67,	0.00,	28.17,	0.00,	0,	25.51,	3.95,	33
0.00,	-1,	-1.40,	-1.00,	0.00,	-4.11,	0.00,	25.18,	0.00,	0,	24.51,	3.43,	34
0.00,	0,	-1.40,	-1.00,	0.00,	-1.54,	0.00,	30.82,	0.00,	0,	26.46,	4.20,	34
0.00,	-4,	-1.80,	-1.00,	0.00,	-1.39,	0.00,	29.52,	0.00,	0,	24.04,	4.14,	33
0.00,	-4,	-2.20,	-1.00,	0.00,	-0.26,	0.00,	23.95,	0.00,	0,	22.83,	3.36,	33
