
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

21.1,	119,	0,	106,	136.9
21.1,	119,	0,	106,	136.9
20.4,	119,	0,	106,	136.905
19.6,	120,	0,	106,	136.91
19.2,	121,	0,	106,	136.915
19,	122,	0,	106,	136.92
18.3,	123,	0,	106,	136.925
-7.4,	147,	0,	107,	137.08
-7.4,	147,	0,	107,	137.08
-9.2,	148,	0,	107,	137.085
-10.5,	149,	0,	107,	137.09
-11.6,	150,	0,	107,	137.095
-11.8,	150,	0,	107,	137.1
-11.9,	151,	0,	107,	137.105
-35.2,	187,	0,	108,	137.348
-35.2,	187,	0,	108,	137.348
-36.4,	188,	0,	108,	137.353
-38.4,	189,	0,	108,	137.357
-39.6,	190,	0,	108,	137.362
-39.5,	190,	0,	108,	137.367
-40.5,	191,	0,	108,	137.372
-45.5,	251,	0,	109,	137.735
-45.5,	251,	0,	109,	137.735
-43.4,	251,	0,	109,	137.74
-43.2,	252,	0,	109,	137.745
-42.8,	253,	0,	109,	137.75
-42.5,	254,	0,	109,	137.755
-43,	255,	0,	109,	137.76
-38.5,	282,	0,	110,	137.944
-38.5,	282,	0,	110,	137.944
-37.6,	283,	0,	110,	137.949
-37.2,	284,	0,	110,	137.954
-36.9,	284,	0,	110,	137.959
-35.4,	285,	0,	110,	137.964
-35,	286,	0,	110,	137.969
-27,	315,	0,	111,	138.152
-27,	315,	0,	111,	138.152
-25.4,	315,	0,	111,	138.157
-24.6,	316,	0,	111,	138.162
-23.8,	317,	0,	111,	138.167
-22.1,	318,	0,	111,	138.172
-21.3,	318,	0,	111,	138.177
10.1,	351,	0,	112,	138.391
10.1,	351,	0,	112,	138.391
10.3,	352,	0,	112,	138.396
11.1,	353,	0,	112,	138.401
11.9,	353,	0,	112,	138.406
12.1,	354,	0,	112,	138.411
12.2,	355,	0,	112,	138.416
45.2,	27,	0,	113,	138.629
45.2,	27,	0,	113,	138.629
46.2,	28,	0,	113,	138.634
46.5,	29,	0,	113,	138.639
46.2,	30,	0,	113,	138.644
45.9,	30,	0,	113,	138.649
45.6,	31,	0,	113,	138.654
58.3,	60,	0,	114,	138.838
58.3,	60,	0,	114,	138.838
58.6,	60,	0,	114,	138.843
58.5,	61,	0,	114,	138.848
58.4,	62,	0,	114,	138.853
58.4,	63,	0,	114,	138.858
57,	63,	0,	114,	138.863
43.5,	92,	0,	115,	139.047
43.5,	92,	0,	115,	139.047
42.6,	92,	0,	115,	139.052
42,	93,	0,	115,	139.057
41.6,	94,	0,	115,	139.062
41.7,	95,	0,	115,	139.066
41.6,	96,	0,	115,	139.072
13.9,	128,	0,	116,	139.285
13.9,	128,	0,	116,	139.285
12.9,	129,	0,	116,	139.29
11.6,	129,	0,	116,	139.295
11.3,	130,	0,	116,	139.3
11.1,	131,	0,	116,	139.305
11,	132,	0,	116,	139.31
-45.6,	193,	0,	117,	139.732
-45.6,	193,	0,	117,	139.732
-46.1,	194,	0,	117,	139.737
-46.2,	195,	0,	117,	139.742
-46.3,	195,	0,	117,	139.747
-46.3,	196,	0,	117,	139.752
-47.5,	197,	0,	117,	139.757
-53.1,	239,	0,	118,	140.03
-53.1,	239,	0,	118,	140.03
-50.9,	240,	0,	118,	140.035
-49.9,	241,	0,	118,	140.04
-49.4,	242,	0,	118,	140.045
-47.5,	242,	0,	118,	140.05
-46.9,	243,	0,	118,	140.055
-42.6,	270,	0,	119,	140.239
-42.6,	270,	0,	119,	140.239
-42.5,	271,	0,	119,	140.243
-42.7,	272,	0,	119,	140.248
-42.8,	273,	0,	119,	140.254
-42.8,	273,	0,	119,	140.258
-42.7,	274,	0,	119,	140.263
-26.3,	302,	0,	120,	140.448
-26.3,	302,	0,	120,	140.448
-26.1,	303,	0,	120,	140.453
-26.1,	303,	0,	120,	140.457
-26.3,	304,	0,	120,	140.462
-26.1,	304,	0,	120,	140.467
-24.9,	305,	0,	120,	140.472
-10,	337,	0,	121,	140.686
-10,	337,	0,	121,	140.686
-9.2,	338,	0,	121,	140.691
-8.3,	339,	0,	121,	140.696
-7.1,	340,	0,	121,	140.7
-6,	340,	0,	121,	140.705
-4.5,	341,	0,	121,	140.71
33.9,	18,	0,	122,	140.954
33.9,	18,	0,	122,	140.954
35.9,	18,	0,	122,	140.959
36.3,	19,	0,	122,	140.964
37,	20,	0,	122,	140.969
37.5,	21,	0,	122,	140.974
38,	21,	0,	122,	140.979
48.5,	76,	0,	123,	141.341
48.5,	76,	0,	123,	141.341
47.8,	76,	0,	123,	141.346
46.7,	77,	0,	123,	141.351
46.4,	78,	0,	123,	141.356
46.4,	79,	0,	123,	141.361
46.2,	79,	0,	123,	141.366
30.2,	108,	0,	124,	141.55
30.2,	108,	0,	124,	141.55
30.9,	109,	0,	124,	141.555
30.8,	110,	0,	124,	141.56
30.6,	110,	0,	124,	141.565
29.6,	111,	0,	124,	141.57
28.5,	112,	0,	124,	141.575
-8.4,	157,	0,	125,	141.878
-8.4,	157,	0,	125,	141.878
-8.3,	158,	0,	125,	141.883
-8.3,	159,	0,	125,	141.888
-8.3,	159,	0,	125,	141.893
-9.9,	160,	0,	125,	141.898
-10.5,	161,	0,	125,	141.903
-43.4,	197,	0,	126,	142.146
-43.4,	197,	0,	126,	142.146
-44.7,	197,	0,	126,	142.151
-45.1,	198,	0,	126,	142.156
-45.8,	199,	0,	126,	142.161
-46.8,	200,	0,	126,	142.166
-48.8,	200,	0,	126,	142.171
-55,	234,	0,	127,	142.385
-55,	234,	0,	127,	142.385
-54.2,	235,	0,	127,	142.39
-53.1,	236,	0,	127,	142.395
-52.9,	236,	0,	127,	142.4
-52.7,	237,	0,	127,	142.405
-52.2,	238,	0,	127,	142.41
-42.5,	274,	0,	128,	142.653
-42.5,	274,	0,	128,	142.653
-42.1,	274,	0,	128,	142.658
-41.1,	275,	0,	128,	142.663
-40.1,	276,	0,	128,	142.668
-38.6,	277,	0,	128,	142.673
-38.2,	277,	0,	128,	142.678
-12.3,	323,	0,	129,	142.981
-12.3,	323,	0,	129,	142.981
-10.8,	324,	0,	129,	142.986
-10.6,	324,	0,	129,	142.991
-10.5,	325,	0,	129,	142.996
-10.4,	326,	0,	129,	143.001
-10.6,	327,	0,	129,	143.006
31.5,	15,	0,	130,	143.339
31.5,	15,	0,	130,	143.339
32.5,	15,	0,	130,	143.344
33.2,	16,	0,	130,	143.349
34.2,	17,	0,	130,	143.354
35.1,	18,	0,	130,	143.359
36,	18,	0,	130,	143.364
62.3,	60,	0,	131,	143.637
62.3,	60,	0,	131,	143.637
61.8,	61,	0,	131,	143.642
60.4,	62,	0,	131,	143.647
58.9,	62,	0,	131,	143.652
58.8,	63,	0,	131,	143.657
57.8,	64,	0,	131,	143.662
26.9,	114,	0,	132,	143.995
26.9,	114,	0,	132,	143.995
27.5,	114,	0,	132,	144
27.3,	115,	0,	132,	144.005
27.3,	116,	0,	132,	144.01
26.6,	117,	0,	132,	144.015
26.5,	117,	0,	132,	144.02
-8,	149,	0,	133,	144.233
-8,	149,	0,	133,	144.233
-9.9,	150,	0,	133,	144.238
-11.4,	151,	0,	133,	144.243
-12.5,	152,	0,	133,	144.248
-12.5,	152,	0,	133,	144.253
-12.2,	153,	0,	133,	144.258
-43.6,	193,	0,	134,	144.532
-43.6,	193,	0,	134,	144.532
-43.8,	193,	0,	134,	144.537
-43.9,	194,	0,	134,	144.542
-44.1,	195,	0,	134,	144.547
-44.6,	196,	0,	134,	144.552
-45.1,	196,	0,	134,	144.557
-53.1,	246,	0,	135,	144.889
-53.1,	246,	0,	135,	144.889
-53.4,	247,	0,	135,	144.894
-55.1,	247,	0,	135,	144.899
-56,	248,	0,	135,	144.904
-55.5,	249,	0,	135,	144.909
-55.3,	250,	0,	135,	144.914
-25.3,	299,	0,	136,	145.247
-25.3,	299,	0,	136,	145.247
-25.5,	300,	0,	136,	145.252
-25.7,	300,	0,	136,	145.257
-25.8,	301,	0,	136,	145.262
-26.1,	302,	0,	136,	145.267
-26.7,	303,	0,	136,	145.272
-3.2,	344,	0,	137,	145.545
-3.2,	344,	0,	137,	145.545
-2,	344,	0,	137,	145.55
-0.9,	345,	0,	137,	145.555
-0.4,	346,	0,	137,	145.56
0.7,	347,	0,	137,	145.565
2,	347,	0,	137,	145.57
43.4,	29,	0,	138,	145.843
43.4,	29,	0,	138,	145.843
45.4,	29,	0,	138,	145.848
46.7,	30,	0,	138,	145.853
46.8,	31,	0,	138,	145.858
47.3,	32,	0,	138,	145.863
48.4,	32,	0,	138,	145.868
58,	64,	0,	139,	146.081
58,	64,	0,	139,	146.081
56.1,	65,	0,	139,	146.086
54.6,	65,	0,	139,	146.091
54,	66,	0,	139,	146.096
53.7,	67,	0,	139,	146.101
53.3,	68,	0,	139,	146.106
38.7,	96,	0,	140,	146.29
38.7,	96,	0,	140,	146.29
38.3,	97,	0,	140,	146.295
37.6,	98,	0,	140,	146.3
36.6,	98,	0,	140,	146.305
35,	99,	0,	140,	146.31
34.9,	100,	0,	140,	146.315
15,	128,	0,	141,	146.499
15,	128,	0,	141,	146.499
15,	129,	0,	141,	146.504
15.1,	130,	0,	141,	146.509
14.2,	131,	0,	141,	146.514
13.8,	132,	0,	141,	146.519
13.2,	132,	0,	141,	146.524
-20.7,	164,	0,	142,	146.737
-20.7,	164,	0,	142,	146.737
-20.8,	165,	0,	142,	146.742
-20.7,	166,	0,	142,	146.747
-21.3,	166,	0,	142,	146.752
-21.6,	167,	0,	142,	146.757
-21.9,	168,	0,	142,	146.762
-49.8,	205,	0,	143,	147.005
-49.8,	205,	0,	143,	147.005
-51.5,	206,	0,	143,	147.01
-53.2,	206,	0,	143,	147.015
-53.3,	207,	0,	143,	147.02
-54.6,	208,	0,	143,	147.025
-56.2,	209,	0,	143,	147.03
-54.7,	232,	0,	144,	147.184
-54.7,	232,	0,	144,	147.184
-55.6,	233,	0,	144,	147.189
-55.6,	234,	0,	144,	147.194
-56,	235,	0,	144,	147.199
-56.6,	236,	0,	144,	147.205
-57.8,	236,	0,	144,	147.209
-47,	264,	0,	145,	147.393
-47,	264,	0,	145,	147.393
-46.3,	265,	0,	145,	147.398
-44.3,	266,	0,	145,	147.403
-43.8,	266,	0,	145,	147.408
-42.8,	267,	0,	145,	147.413
-42.2,	268,	0,	145,	147.418
-27,	297,	0,	146,	147.602
-27,	297,	0,	146,	147.602
-26.6,	298,	0,	146,	147.607
-25.5,	299,	0,	146,	147.612
-24.8,	299,	0,	146,	147.617
-24.4,	300,	0,	146,	147.622
-23.9,	301,	0,	146,	147.627
-12.6,	334,	0,	147,	147.84
-12.6,	334,	0,	147,	147.84
-12,	335,	0,	147,	147.845
-11.1,	336,	0,	147,	147.85
-10.8,	336,	0,	147,	147.855
-10,	337,	0,	147,	147.86
-9.6,	338,	0,	147,	147.865
23.5,	9,	0,	148,	148.079
23.5,	9,	0,	148,	148.079
24.8,	10,	0,	148,	148.084
26.3,	10,	0,	148,	148.089
27,	11,	0,	148,	148.094
28.3,	12,	0,	148,	148.099
29.8,	13,	0,	148,	148.104
49.3,	41,	0,	149,	148.287
49.3,	41,	0,	149,	148.287
51.7,	42,	0,	149,	148.292
51.9,	43,	0,	149,	148.297
53.5,	44,	0,	149,	148.302
56,	45,	0,	149,	148.307
57.6,	46,	0,	149,	148.312
56.1,	75,	0,	150,	148.496
56.1,	75,	0,	150,	148.496
55,	75,	0,	150,	148.501
54,	76,	0,	150,	148.506
53.1,	77,	0,	150,	148.511
51.8,	78,	0,	150,	148.516
50.5,	78,	0,	150,	148.521
34,	106,	0,	151,	148.705
34,	106,	0,	151,	148.705
