
Right power from force,Vector size

-0.9907,	428
3.2745,	357
-4.7590,	415
0.4144,	514
0.5453,	552
-3.4113,	496
2.1057,	454
2.9429,	368
-3.3784,	407
-3.9221,	411
-1.1541,	545
-2.0550,	527
-3.6660,	533
1.3014,	491
-1.9963,	534
-0.6296,	548
-2.6265,	573
-2.3662,	568
1.6623,	530
-0.1132,	468
0.2162,	555
-2.6295,	556
-2.1877,	506
6.3258,	356
-1.9595,	444
-3.8045,	404
0.2808,	438
0.3574,	554
-0.9547,	552
-1.0182,	550
-1.0486,	555
-0.8649,	518
-1.3113,	485
0.1690,	491
-1.4668,	572
-1.2815,	572
-2.5010,	519
-2.3831,	556
-3.1139,	553
-0.1083,	471
-3.7822,	473
-1.6579,	380
-3.1925,	452
-2.5590,	542
-1.2865,	534
-2.4347,	536
-0.1447,	553
-0.6912,	557
-2.3268,	557
0.4664,	536
-3.0000,	532
0.5974,	549
-1.3438,	544
0.1007,	556
0.4593,	553
-2.0411,	559
2.9922,	384
-5.9529,	425
1.7210,	423
-3.4018,	448
0.9036,	529
-2.4297,	505
-2.3387,	499
2.0682,	528
-2.7586,	551
-2.1541,	532
-1.6254,	558
-1.4848,	495
