
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-1,	-3.00,	-2.00,	0.00,	0.15,	0.00,	0.00,	15.54,	0.00,	0,	25.25,	2.18,	33
0.00,	0,	-2.40,	-1.00,	-1.00,	-1.98,	0.00,	0.00,	12.34,	0.00,	0,	24.04,	1.68,	34
0.00,	-3,	-2.40,	-1.00,	0.00,	1.89,	0.00,	0.00,	13.04,	0.00,	0,	26.46,	1.78,	34
0.00,	-2,	-2.20,	-1.00,	0.00,	2.67,	0.00,	0.00,	17.04,	0.00,	0,	24.77,	2.25,	35
0.00,	-4,	-2.00,	-1.00,	0.00,	0.72,	0.00,	0.00,	9.81,	0.00,	0,	26.46,	1.34,	34
0.00,	0,	-1.80,	-1.00,	0.00,	1.87,	0.00,	0.00,	14.95,	0.00,	0,	25.25,	2.04,	34
0.00,	-3,	-2.40,	-1.00,	0.00,	-0.17,	0.00,	0.00,	14.75,	0.00,	0,	26.32,	2.01,	34
0.00,	-3,	-2.40,	-1.00,	0.00,	0.08,	0.00,	0.00,	9.41,	0.00,	0,	25.20,	1.32,	33
0.00,	-4,	-2.80,	-1.00,	0.00,	1.17,	0.00,	0.00,	14.81,	0.00,	0,	24.63,	2.02,	34
0.00,	-5,	-3.00,	-1.00,	-1.00,	0.34,	0.00,	0.00,	15.55,	0.00,	0,	25.25,	2.12,	34
0.00,	-5,	-4.00,	-2.00,	-1.00,	5.43,	0.00,	0.00,	14.13,	0.00,	0,	24.39,	1.98,	33
0.00,	-3,	-4.00,	-2.00,	-1.00,	-0.84,	0.00,	0.00,	13.73,	0.00,	0,	23.36,	1.93,	33
0.00,	-2,	-3.80,	-2.00,	-1.00,	2.16,	0.00,	0.00,	15.48,	0.00,	0,	25.77,	2.11,	34
0.00,	-3,	-3.60,	-2.00,	0.00,	2.09,	0.00,	0.00,	16.01,	0.00,	0,	25.51,	2.18,	34
0.00,	-2,	-3.00,	-2.00,	-1.00,	-3.25,	0.00,	0.00,	17.18,	0.00,	0,	25.25,	2.34,	34
0.00,	-1,	-2.20,	-1.00,	-1.00,	3.69,	0.00,	0.00,	12.27,	0.00,	0,	25.43,	1.72,	33
0.00,	-7,	-3.00,	-1.00,	-1.00,	-1.45,	0.00,	0.00,	14.89,	0.00,	0,	24.27,	2.03,	34
0.00,	-2,	-3.00,	-1.00,	-1.00,	4.71,	0.00,	0.00,	15.13,	0.00,	0,	25.51,	2.06,	34
