
PID coefficient,Total Power,5 cycles mean power,Left power,Right power,Left error,Right error,Total Target Power,Motor Power,Stimul Current,Gear,Cadence,Motor Current,Duty Cycle

0.00,	-3,	-3.60,	-3.00,	0.00,	6.29,	0.00,	0.00,	12.59,	0.00,	0,	24.75,	1.71,	34
0.00,	-4,	-3.80,	-3.00,	0.00,	3.44,	0.00,	0.00,	12.54,	0.00,	0,	25.51,	1.71,	34
0.00,	-3,	-3.40,	-3.00,	0.00,	3.41,	0.00,	0.00,	14.00,	0.00,	0,	25.64,	1.91,	34
0.00,	-1,	-3.00,	-3.00,	0.00,	6.97,	0.00,	0.00,	8.09,	0.00,	0,	26.37,	1.10,	34
0.00,	-4,	-3.00,	-3.00,	0.00,	4.25,	0.00,	0.00,	15.56,	0.00,	0,	27.03,	2.06,	35
0.00,	0,	-2.40,	-3.00,	0.00,	6.12,	0.00,	0.00,	13.53,	0.00,	0,	24.75,	1.90,	33
0.00,	-5,	-2.60,	-3.00,	0.00,	2.13,	0.00,	0.00,	12.50,	0.00,	0,	25.91,	1.70,	34
0.00,	-2,	-2.40,	-3.00,	0.00,	4.53,	0.00,	0.00,	15.06,	0.00,	0,	24.51,	2.05,	34
0.00,	-3,	-2.80,	-3.00,	0.00,	4.34,	0.00,	0.00,	24.58,	0.00,	0,	26.31,	3.45,	33
0.00,	-4,	-2.80,	-3.00,	0.00,	3.51,	0.00,	0.00,	14.26,	0.00,	0,	24.03,	2.00,	33
0.00,	-1,	-3.00,	-3.00,	0.00,	4.16,	0.00,	0.00,	14.66,	0.00,	0,	23.59,	2.06,	33
0.00,	-4,	-2.80,	-3.00,	0.00,	2.49,	0.00,	0.00,	12.90,	0.00,	0,	24.88,	1.76,	34
0.00,	0,	-2.40,	-3.00,	0.00,	6.81,	0.00,	0.00,	15.47,	0.00,	0,	25.38,	2.11,	34
0.00,	-4,	-2.60,	-3.00,	0.00,	2.72,	0.00,	0.00,	15.03,	0.00,	0,	26.16,	1.99,	35
0.00,	-4,	-2.60,	-3.00,	0.00,	6.17,	0.00,	0.00,	8.93,	0.00,	0,	26.03,	1.22,	34
0.00,	-3,	-3.00,	-3.00,	0.00,	2.30,	0.00,	0.00,	14.12,	0.00,	0,	25.91,	1.92,	34
0.00,	-3,	-2.80,	-3.00,	0.00,	3.46,	0.00,	0.00,	11.53,	0.00,	0,	26.04,	1.57,	34
0.00,	-3,	-3.40,	-3.00,	0.00,	6.58,	0.00,	0.00,	12.92,	0.00,	0,	25.38,	1.81,	33
0.00,	-3,	-3.20,	-3.00,	0.00,	0.36,	0.00,	0.00,	14.07,	0.00,	0,	25.13,	1.97,	33
0.00,	-3,	-3.00,	-3.00,	0.00,	5.94,	0.00,	0.00,	12.26,	0.00,	0,	24.63,	1.67,	34
0.00,	-5,	-3.40,	-3.00,	0.00,	4.32,	0.00,	0.00,	14.40,	0.00,	0,	25.13,	2.02,	33
0.00,	-3,	-3.40,	-3.00,	0.00,	2.84,	0.00,	0.00,	14.60,	0.00,	0,	25.12,	2.05,	33
0.00,	-2,	-3.20,	-2.00,	0.00,	0.53,	0.00,	0.00,	13.99,	0.00,	0,	24.28,	1.96,	33
0.00,	-2,	-3.00,	-2.00,	0.00,	1.71,	0.00,	0.00,	14.47,	0.00,	0,	25.00,	2.03,	33
0.00,	-4,	-3.20,	-2.00,	0.00,	6.29,	0.00,	0.00,	11.45,	0.00,	0,	24.04,	1.61,	33
0.00,	-3,	-2.80,	-2.00,	0.00,	3.24,	0.00,	0.00,	15.07,	0.00,	0,	23.81,	2.11,	33
0.00,	-1,	-2.40,	-3.00,	0.00,	7.15,	0.00,	0.00,	13.76,	0.00,	0,	24.63,	1.93,	33
0.00,	-1,	-2.20,	-3.00,	0.00,	5.02,	0.00,	0.00,	12.96,	0.00,	0,	24.04,	1.82,	33
0.00,	-3,	-2.40,	-3.00,	0.00,	5.07,	0.00,	0.00,	14.90,	0.00,	0,	24.75,	2.09,	33
0.00,	-1,	-1.80,	-3.00,	0.00,	3.68,	0.00,	0.00,	14.34,	0.00,	0,	24.27,	2.01,	33
0.00,	-4,	-2.00,	-3.00,	0.00,	3.46,	0.00,	0.00,	13.91,	0.00,	0,	25.77,	1.89,	34
