
Right power from force,Vector size

-0.5028,	531
-0.2634,	543
2.7341,	455
-0.1710,	462
2.7996,	464
-1.4851,	503
1.0407,	541
0.5087,	519
-0.6232,	353
1.0814,	479
-1.0846,	473
3.6022,	455
-0.8346,	538
0.8044,	542
-0.7261,	533
0.1574,	540
1.4365,	543
-1.3814,	548
1.4642,	558
-0.4579,	546
-0.1178,	535
-0.9982,	551
-0.3971,	559
0.7723,	549
-0.0199,	502
2.7056,	462
1.7295,	414
1.0118,	507
0.9804,	560
-0.4381,	557
1.6007,	546
-0.9454,	549
0.2989,	562
0.5108,	558
-0.8587,	467
0.1212,	561
-0.4417,	557
1.2399,	546
0.4696,	560
-3.2898,	490
0.7566,	493
-3.6919,	370
2.6729,	480
4.8966,	464
-0.9401,	434
1.7581,	558
-0.5863,	568
2.6649,	561
-0.8460,	552
1.4568,	567
0.5345,	565
1.2819,	557
-0.3721,	524
-0.7576,	561
3.3437,	547
-1.0727,	550
1.0474,	548
0.0827,	556
2.4401,	459
0.8740,	381
1.2556,	450
0.6748,	572
-0.4413,	562
1.1648,	546
0.4467,	544
0.9668,	542
0.4946,	552
-2.9698,	563
0.8380,	574
-2.0549,	583
0.7858,	565
0.2667,	555
0.5147,	546
1.0074,	544
