
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

27.2,	124,	0,	133,	33.411
27.2,	124,	0,	133,	33.411
24.7,	124,	0,	133,	33.416
23.3,	125,	0,	133,	33.4211
21.4,	126,	0,	133,	33.4261
19.7,	127,	0,	133,	33.4311
19.1,	127,	0,	133,	33.4362
0.1,	155,	0,	134,	33.6222
0.1,	155,	0,	134,	33.6222
0,	156,	0,	134,	33.6272
-0.3,	157,	0,	134,	33.6323
-0.2,	157,	0,	134,	33.6373
-0.6,	158,	0,	134,	33.6423
-1.2,	159,	0,	134,	33.6473
-28.1,	186,	0,	135,	33.8339
-28.1,	186,	0,	135,	33.8339
-28.1,	187,	0,	135,	33.8389
-27.9,	188,	0,	135,	33.8439
-28.4,	189,	0,	135,	33.8489
-29.5,	189,	0,	135,	33.8539
-30.5,	190,	0,	135,	33.8589
-49.4,	213,	0,	136,	34.0144
-49.4,	213,	0,	136,	34.0144
-50,	214,	0,	136,	34.0194
-50.5,	215,	0,	136,	34.0244
-50.9,	216,	0,	136,	34.0295
-51.5,	217,	0,	136,	34.0345
-51.8,	217,	0,	136,	34.0395
-47,	246,	0,	137,	34.2256
-47,	246,	0,	137,	34.2256
-47,	247,	0,	137,	34.2307
-47.9,	247,	0,	137,	34.2357
-47.2,	248,	0,	137,	34.2407
-46,	249,	0,	137,	34.2457
-45.3,	249,	0,	137,	34.2508
-31.7,	277,	0,	138,	34.4368
-31.7,	277,	0,	138,	34.4368
-30.2,	278,	0,	138,	34.4419
-28.9,	279,	0,	138,	34.4469
-28.1,	280,	0,	138,	34.4519
-27.1,	280,	0,	138,	34.457
-27.6,	281,	0,	138,	34.462
-41.3,	313,	0,	139,	34.6782
-41.3,	313,	0,	139,	34.6782
-41.2,	314,	0,	139,	34.6833
-41.2,	315,	0,	139,	34.6883
-41.2,	315,	0,	139,	34.6933
-41.1,	316,	0,	139,	34.6983
-41.4,	317,	0,	139,	34.7034
-6.5,	349,	0,	140,	34.92
-6.5,	349,	0,	140,	34.92
-5.7,	350,	0,	140,	34.9249
-5,	351,	0,	140,	34.9299
-4.8,	351,	0,	140,	34.9349
-4.1,	352,	0,	140,	34.9399
-2.2,	353,	0,	140,	34.945
34.8,	19,	0,	141,	35.1307
34.8,	19,	0,	141,	35.1307
35.6,	20,	0,	141,	35.1358
36.8,	21,	0,	141,	35.1408
37.7,	21,	0,	141,	35.1458
38.5,	22,	0,	141,	35.1508
39,	23,	0,	141,	35.1559
52.8,	46,	0,	142,	35.3117
52.8,	46,	0,	142,	35.3117
53,	47,	0,	142,	35.3167
52.5,	47,	0,	142,	35.3217
52.6,	48,	0,	142,	35.3268
51.8,	49,	0,	142,	35.3318
52,	50,	0,	142,	35.3368
42.7,	77,	0,	143,	35.5228
42.7,	77,	0,	143,	35.5228
43.1,	78,	0,	143,	35.5278
43.4,	79,	0,	143,	35.5329
44.3,	79,	0,	143,	35.5379
45.5,	80,	0,	143,	35.5429
46.5,	81,	0,	143,	35.5479
31,	113,	0,	144,	35.7641
31,	113,	0,	144,	35.7641
30.7,	114,	0,	144,	35.7692
30.7,	115,	0,	144,	35.7742
31,	115,	0,	144,	35.7792
30.4,	116,	0,	144,	35.7842
29.3,	117,	0,	144,	35.7893
5.9,	155,	0,	145,	36.0363
5.9,	155,	0,	145,	36.0363
5.5,	155,	0,	145,	36.041
4.6,	156,	0,	145,	36.046
4,	157,	0,	145,	36.051
3.3,	158,	0,	145,	36.056
3.1,	158,	0,	145,	36.061
-13.8,	181,	0,	146,	36.2166
-13.8,	181,	0,	146,	36.2166
-14.2,	182,	0,	146,	36.2217
-15,	183,	0,	146,	36.2267
-15.2,	183,	0,	146,	36.2317
-16.4,	184,	0,	146,	36.2367
-18,	185,	0,	146,	36.2418
-38.5,	213,	0,	147,	36.4278
-38.5,	213,	0,	147,	36.4278
-38.5,	214,	0,	147,	36.4328
-38.4,	215,	0,	147,	36.4378
-37.5,	215,	0,	147,	36.4428
-37.1,	216,	0,	147,	36.4479
-37,	217,	0,	147,	36.4529
-43.7,	244,	0,	148,	36.6388
-43.7,	244,	0,	148,	36.6388
-43.5,	245,	0,	148,	36.6439
-43.5,	246,	0,	148,	36.6489
-43.4,	247,	0,	148,	36.6539
-43.2,	247,	0,	148,	36.6589
-42.6,	248,	0,	148,	36.664
-22.4,	281,	0,	149,	36.8801
-22.4,	281,	0,	149,	36.8801
-23.3,	282,	0,	149,	36.8851
-24.8,	282,	0,	149,	36.8902
-26.4,	283,	0,	149,	36.8952
-26.7,	284,	0,	149,	36.9002
-26.4,	285,	0,	149,	36.9052
-36.5,	327,	0,	150,	37.1821
-36.5,	327,	0,	150,	37.1821
-35.9,	328,	0,	150,	37.1871
