
Right Force,Right Angle,Right Encoder Angle,Pacchetto,Time

39.9,	87,	0,	141,	75.1681
39.9,	87,	0,	141,	75.1681
39.9,	88,	0,	141,	75.1732
40,	88,	0,	141,	75.1782
40.2,	89,	0,	141,	75.1832
40.6,	90,	0,	141,	75.1882
40.6,	90,	0,	141,	75.1933
22.5,	120,	0,	142,	75.3794
22.5,	120,	0,	142,	75.3794
21.8,	120,	0,	142,	75.3844
21.7,	121,	0,	142,	75.3894
21.6,	122,	0,	142,	75.3944
21.6,	123,	0,	142,	75.3994
21.5,	123,	0,	142,	75.4044
8,	147,	0,	143,	75.5602
8,	147,	0,	143,	75.5602
7.7,	147,	0,	143,	75.5653
7.1,	148,	0,	143,	75.5703
5.7,	149,	0,	143,	75.5753
5.5,	150,	0,	143,	75.5805
5.3,	150,	0,	143,	75.5854
-16.6,	178,	0,	144,	75.7714
-16.6,	178,	0,	144,	75.7714
-17.8,	178,	0,	144,	75.7765
-17.7,	179,	0,	144,	75.7815
-19.3,	180,	0,	144,	75.7865
-19.7,	181,	0,	144,	75.7915
-20.5,	181,	0,	144,	75.7966
-46.8,	210,	0,	145,	75.9826
-46.8,	210,	0,	145,	75.9826
-47.1,	210,	0,	145,	75.9876
-48.2,	211,	0,	145,	75.9926
-48.6,	212,	0,	145,	75.9977
-50.3,	213,	0,	145,	76.0027
-50.6,	214,	0,	145,	76.0078
-48.5,	246,	0,	146,	76.2239
-48.5,	246,	0,	146,	76.2239
-48,	246,	0,	146,	76.229
-47.3,	247,	0,	146,	76.234
-45.5,	248,	0,	146,	76.239
-44.3,	249,	0,	146,	76.244
-42.3,	250,	0,	146,	76.2491
-27.5,	284,	0,	147,	76.4655
-27.5,	284,	0,	147,	76.4655
-27.9,	285,	0,	147,	76.4705
-28.1,	285,	0,	147,	76.4755
-28.4,	286,	0,	147,	76.4806
-30,	287,	0,	147,	76.4855
-31.1,	288,	0,	147,	76.4905
-38.8,	317,	0,	148,	76.6766
-38.8,	317,	0,	148,	76.6766
-38.8,	317,	0,	148,	76.6816
-38.8,	318,	0,	148,	76.6866
-38.6,	319,	0,	148,	76.6917
-38.4,	320,	0,	148,	76.697
-38.4,	320,	0,	148,	76.7017
-14.6,	343,	0,	149,	76.8576
-14.6,	343,	0,	149,	76.8576
-14.3,	344,	0,	149,	76.8626
-12.7,	345,	0,	149,	76.8676
-12,	346,	0,	149,	76.8727
-12,	346,	0,	149,	76.8777
-10.7,	347,	0,	149,	76.8827
33.4,	14,	0,	150,	77.0688
33.4,	14,	0,	150,	77.0688
33.9,	15,	0,	150,	77.0738
34.2,	15,	0,	150,	77.0788
34.6,	16,	0,	150,	77.0838
35.7,	17,	0,	150,	77.0889
36.8,	18,	0,	150,	77.0939
50.4,	50,	0,	151,	77.3102
50.4,	50,	0,	151,	77.3102
51,	51,	0,	151,	77.3152
50.1,	52,	0,	151,	77.3203
49.5,	53,	0,	151,	77.3253
49.5,	53,	0,	151,	77.3306
49.5,	54,	0,	151,	77.3353
45,	94,	0,	152,	77.5818
45,	94,	0,	152,	77.5818
44.5,	95,	0,	152,	77.5869
43,	95,	0,	152,	77.5919
41.1,	96,	0,	152,	77.5969
40.6,	97,	0,	152,	77.602
40.4,	98,	0,	152,	77.607
27.6,	121,	0,	153,	77.7628
27.6,	121,	0,	153,	77.7628
27.6,	122,	0,	153,	77.7679
27.3,	122,	0,	153,	77.7729
27,	123,	0,	153,	77.778
26.9,	124,	0,	153,	77.783
25.3,	125,	0,	153,	77.788
6.1,	152,	0,	154,	77.9741
6.1,	152,	0,	154,	77.9741
6.1,	152,	0,	154,	77.9791
6.4,	153,	0,	154,	77.9841
6.4,	154,	0,	154,	77.9892
6.2,	155,	0,	154,	77.9942
6.2,	155,	0,	154,	77.9992
-13.7,	177,	0,	155,	78.1551
-13.7,	177,	0,	155,	78.1551
-14.3,	178,	0,	155,	78.1602
-15.2,	179,	0,	155,	78.1652
-15.5,	180,	0,	155,	78.1702
-15.6,	180,	0,	155,	78.1752
-17.8,	181,	0,	155,	78.1804
-35.3,	217,	0,	156,	78.4266
-35.3,	217,	0,	156,	78.4266
-35.5,	218,	0,	156,	78.4323
-36.4,	219,	0,	156,	78.4373
-36.8,	220,	0,	156,	78.4424
-37.4,	221,	0,	156,	78.4474
-37.4,	221,	0,	156,	78.4525
-35.5,	252,	0,	157,	78.6679
-35.5,	252,	0,	157,	78.6679
-34,	253,	0,	157,	78.673
-33.7,	254,	0,	157,	78.678
-32.8,	255,	0,	157,	78.683
