
Right power from force,Vector size

-1.8026,	76
0.5263,	76
0.8481,	79
0.0959,	73
-0.0789,	76
-0.8553,	76
-0.6129,	62
-3.5806,	62
1.0161,	62
-0.5000,	62
-2.3188,	69
0.6579,	76
0.3684,	76
0.2237,	76
2.8553,	76
0.0789,	76
1.3194,	72
-1.6027,	73
0.8554,	83
-1.2464,	69
-2.3421,	76
1.1579,	76
-0.5658,	76
1.5645,	62
-3.1452,	62
4.0758,	66
-0.9385,	65
0.3421,	76
1.1184,	76
-1.2105,	76
1.7108,	83
-3.2899,	69
1.1566,	83
-2.2500,	76
-2.9737,	76
1.0789,	76
-1.9759,	83
0.7639,	72
-3.1233,	73
0.3188,	69
-0.6182,	55
0.7692,	65
2.6102,	59
-1.5263,	76
2.9868,	76
0.5789,	76
1.7349,	83
0.0000,	69
-1.8193,	83
0.8933,	75
-2.4156,	77
0.6579,	76
-2.7763,	76
-0.0921,	76
0.4348,	69
-1.7895,	76
1.7636,	55
0.3710,	62
-0.1290,	62
-0.2899,	69
0.7590,	83
2.6447,	76
0.8289,	76
2.5217,	69
-0.5181,	83
-1.2105,	76
-0.9474,	76
0.6667,	69
0.6184,	76
-1.0132,	76
-0.0263,	76
0.2368,	76
2.0000,	69
1.6500,	60
1.0175,	57
