
Left Force,Left Angle,Left Encoder Angle,Pacchetto,Time

-24.7,	277,	0,	1107,	73.6788
-24.7,	277,	0,	1107,	73.6788
-24,	278,	0,	1107,	73.6837
-23.2,	278,	0,	1107,	73.6886
-23.6,	279,	0,	1107,	73.6936
-24.3,	280,	0,	1107,	73.6985
-24.1,	281,	0,	1107,	73.7035
-24.4,	281,	0,	1108,	73.7085
-24.4,	281,	0,	1108,	73.7085
-25,	282,	0,	1108,	73.7134
-24.7,	283,	0,	1108,	73.7184
-24.9,	283,	0,	1108,	73.7234
-25.1,	284,	0,	1108,	73.7284
-25.9,	285,	0,	1108,	73.7333
-27,	286,	0,	1109,	73.7383
-27,	286,	0,	1109,	73.7383
-27.8,	286,	0,	1109,	73.7433
-27.3,	287,	0,	1109,	73.7482
-28.1,	288,	0,	1109,	73.7532
-27.4,	289,	0,	1109,	73.7582
-27.4,	289,	0,	1109,	73.7631
-26.7,	290,	0,	1110,	73.7681
-26.7,	290,	0,	1110,	73.7681
-25.5,	291,	0,	1110,	73.773
-23.6,	292,	0,	1110,	73.778
-22.9,	293,	0,	1110,	73.783
-22,	293,	0,	1110,	73.788
-21.5,	294,	0,	1110,	73.7929
-21.4,	295,	0,	1111,	73.7979
-21.4,	295,	0,	1111,	73.7979
-21.5,	296,	0,	1111,	73.8029
-21.4,	296,	0,	1111,	73.8079
-21.5,	297,	0,	1111,	73.8129
-21.8,	298,	0,	1111,	73.8179
-21.8,	299,	0,	1111,	73.8229
-22,	300,	0,	1112,	73.8282
-22,	300,	0,	1112,	73.8282
-22.7,	300,	0,	1112,	73.8329
-22.8,	301,	0,	1112,	73.8379
-23,	302,	0,	1112,	73.8429
-22,	303,	0,	1112,	73.8483
-22.2,	303,	0,	1112,	73.8529
-22.5,	304,	0,	1113,	73.8579
-22.5,	304,	0,	1113,	73.8579
-23.3,	305,	0,	1113,	73.8629
-23.3,	306,	0,	1113,	73.8679
-23.8,	307,	0,	1113,	73.8729
-23.6,	307,	0,	1113,	73.8782
-24.8,	308,	0,	1113,	73.8829
-27.1,	309,	0,	1114,	73.8879
-27.1,	309,	0,	1114,	73.8879
-27.1,	310,	0,	1114,	73.893
-26.9,	311,	0,	1114,	73.8979
-26.9,	311,	0,	1114,	73.9029
-26.5,	311,	0,	1114,	73.9072
