
Left power from force,Vector size

-2.0658,	76
-4.2609,	69
-1.4342,	76
-1.4079,	76
-3.4928,	69
-0.6711,	76
-2.2899,	69
-2.2763,	76
-3.6667,	69
-2.7500,	76
-1.6316,	76
-3.7500,	76
-1.8916,	83
-2.6711,	76
-2.6316,	76
-2.9079,	76
-3.6711,	76
-2.5507,	69
-2.7368,	76
-2.7368,	76
-2.6711,	76
-4.1739,	69
-2.6053,	76
-3.8684,	76
-2.3289,	76
-3.6944,	72
-3.3151,	73
-2.3553,	76
-2.5526,	76
-2.6579,	76
-3.9565,	69
-3.0000,	76
-2.1974,	76
-4.3768,	69
-1.2368,	76
-3.7826,	69
-2.8947,	76
-2.6957,	69
-2.2771,	83
-2.2895,	76
-4.0870,	69
-3.5000,	76
-2.8553,	76
-3.2237,	76
-2.5652,	69
-2.8684,	76
-1.7500,	76
-2.4079,	76
-2.6711,	76
-2.3553,	76
-4.1200,	75
-2.2468,	77
-2.9041,	73
-2.6667,	72
-2.0526,	76
-3.8421,	76
-2.8158,	76
-3.0000,	69
-2.0526,	76
-3.1579,	76
-3.4868,	76
-4.2174,	69
-3.3289,	76
-2.8551,	69
-2.0526,	76
-3.9861,	72
-3.0000,	73
-3.1842,	76
-3.2500,	76
-3.9737,	76
-1.6316,	76
-2.8684,	76
-3.0526,	76
-3.0435,	69
-3.1842,	76
