
Left power from force,Vector size

-0.7470,	83
-4.2763,	76
-6.3188,	69
-3.9565,	69
-4.4342,	76
-0.2500,	76
-5.2464,	69
-3.3165,	79
-2.8000,	75
-5.0811,	74
-3.3188,	69
-4.8421,	76
-2.9565,	69
-3.1053,	76
-2.1447,	76
-3.6986,	73
-6.2778,	72
-3.2105,	76
-5.2500,	76
-1.1184,	76
-2.7500,	76
-3.2895,	76
-3.8421,	76
-5.2237,	76
-3.8026,	76
-4.5526,	76
-1.5921,	76
-2.8816,	76
-5.7536,	69
-2.2105,	76
-5.2609,	69
-3.0395,	76
-4.9737,	76
-4.6667,	69
-2.5395,	76
-5.6377,	69
-3.5658,	76
-5.3768,	69
-4.7826,	69
-3.8947,	76
-3.3947,	76
-3.1184,	76
-4.3750,	72
-2.5342,	73
-6.8551,	69
-3.6812,	69
-2.3026,	76
-5.4493,	69
-30.8320,	125
30.7667,	30
239.5000,	2
-19.2083,	48
-4.9818,	55
-8.2143,	14
-7.0870,	69
-2.0000,	69
-4.9474,	76
-5.3857,	70
-21.8769,	195
-4.2763,	76
-3.6711,	76
-5.1842,	76
-8.4203,	69
-4.0658,	76
-5.5000,	76
-3.5132,	76
-4.9474,	76
-5.1053,	76
