
Left power from force,Vector size

0.7564,	472
-2.7204,	565
-2.4083,	556
-2.4701,	551
-1.1992,	497
-1.5415,	482
-1.7602,	467
-2.9088,	537
-2.9493,	533
-5.4555,	461
-1.2124,	499
-2.3825,	570
-2.8759,	580
0.2004,	484
-2.8074,	566
-2.8101,	574
-3.7848,	525
-0.0201,	498
-4.0095,	527
-2.6351,	485
-1.9561,	570
-1.9856,	556
-4.5898,	490
0.0830,	482
-2.7632,	570
-2.8618,	579
-2.0329,	577
-1.7757,	575
-2.2862,	566
-1.9208,	543
-2.7730,	489
-3.9881,	505
-1.7895,	532
-3.5494,	486
-4.3729,	472
-3.0870,	552
-1.3733,	501
-4.4011,	536
-0.3579,	475
-2.3327,	517
-5.5443,	463
-2.4405,	563
-2.7750,	560
-2.1201,	566
-2.5286,	577
-2.0181,	554
-2.9064,	545
-4.7913,	460
-2.3525,	505
-4.4612,	503
-2.6803,	563
-2.7482,	568
-2.6407,	565
-3.1147,	558
-3.3723,	564
-2.7311,	569
-2.0903,	487
-3.2170,	553
-2.9480,	481
-2.7478,	563
-2.8153,	536
-0.6911,	463
-1.8587,	453
-2.2552,	525
-4.1452,	489
-0.9747,	435
-3.0265,	567
-1.6661,	551
-2.5323,	573
-3.0350,	571
-2.5747,	576
-2.6526,	570
-2.7549,	559
-5.3030,	505
0.0402,	473
