
Left power from force,Vector size

2.1613,	62
0.4032,	62
-3.3387,	62
1.0161,	62
0.4677,	62
-2.1613,	62
-0.5484,	62
-2.3387,	62
-0.8710,	62
1.9355,	62
-0.8406,	69
-0.8026,	76
0.1304,	69
-0.6667,	69
-1.3289,	76
0.5658,	76
-1.6053,	76
0.4074,	81
-1.6761,	71
-1.1053,	76
-1.8816,	76
-0.0921,	76
0.1594,	69
-0.1974,	76
0.3026,	76
-0.4342,	76
-0.1127,	71
-0.6892,	74
-1.7105,	76
1.6053,	76
-1.2237,	76
-0.7763,	76
0.5072,	69
-1.2763,	76
-1.0000,	76
-1.1447,	76
0.3289,	76
-0.6053,	76
-1.1053,	76
-0.1316,	76
-0.7763,	76
-0.8551,	69
-0.8421,	76
-0.7229,	83
-1.7246,	69
-2.5072,	69
-0.2500,	76
-0.8816,	76
0.1711,	76
-1.8986,	69
-0.1974,	76
-0.0667,	75
-2.8904,	73
-0.4375,	80
-1.3553,	76
-1.1389,	72
-1.8750,	80
-6.6377,	69
0.0000,	69
-3.1579,	76
-2.9605,	76
-0.5797,	69
0.5000,	76
-1.3553,	76
-1.2895,	76
-1.0132,	76
-1.7105,	76
-0.5263,	76
-1.4474,	76
-0.5658,	76
-1.3553,	76
-0.5000,	76
-0.3684,	76
-0.9605,	76
-1.7246,	69
-1.7368,	76
