
Left power from force,Vector size

-2.0290,	69
-0.0132,	76
-1.3478,	69
0.0789,	76
-2.4638,	69
-0.4342,	76
-0.2105,	76
-0.9079,	76
-1.1507,	73
-1.0972,	72
-1.0290,	69
-0.2763,	76
-1.4868,	76
-0.4211,	76
-0.3188,	69
-0.9079,	76
-0.3947,	76
-1.7246,	69
-0.3816,	76
-1.3188,	69
-0.9737,	76
-0.2368,	76
-1.0123,	81
-0.4933,	75
-1.2917,	72
-0.4079,	76
-0.7763,	76
-2.2609,	69
-0.2895,	76
-0.9474,	76
-0.6957,	69
0.4342,	76
-1.1184,	76
-0.2237,	76
-1.5072,	69
-0.0658,	76
-0.3684,	76
-0.1974,	76
0.3816,	76
-0.3553,	76
0.1806,	72
-0.1370,	73
-0.8816,	76
-0.8158,	76
-0.9079,	76
0.2237,	76
-0.2740,	73
-1.2083,	72
-1.3158,	76
-0.6842,	76
0.1159,	69
-0.0526,	76
-0.5789,	76
-0.1053,	76
-1.8553,	76
-0.5658,	76
-2.0526,	76
-0.5789,	76
-0.3289,	76
-1.6667,	69
-0.7500,	76
-1.4079,	76
-0.2763,	76
-0.5797,	69
-0.8816,	76
-0.3562,	73
-2.4167,	72
-0.0921,	76
-1.0658,	76
-1.3768,	69
0.2500,	76
-1.1974,	76
-0.4737,	76
-1.1711,	76
0.0132,	76
-1.5775,	71
