
Left power from force,Vector size

-1.4680,	453
-0.3405,	555
0.2549,	561
-2.4526,	506
0.0753,	438
-0.7164,	529
-0.7356,	537
0.2085,	542
-0.7291,	550
0.9540,	413
-1.8610,	446
1.0511,	489
-0.8050,	518
-1.3493,	501
-0.0699,	544
0.2125,	480
-1.3361,	479
1.0198,	455
0.5964,	498
-1.1689,	521
-0.9111,	551
-0.0669,	553
-1.8483,	501
0.1342,	559
-0.5123,	529
-3.1649,	467
-0.3003,	586
-0.9085,	579
-2.2733,	483
-0.4478,	565
-0.2294,	545
-1.5919,	517
-0.9624,	558
0.6178,	518
-2.2363,	512
-0.3735,	565
-0.4490,	559
-0.5187,	563
-0.7013,	549
-1.3759,	556
-0.4281,	549
-0.7094,	554
0.5605,	512
-1.4866,	524
-0.8196,	560
-0.3113,	575
1.4151,	489
1.1582,	493
-1.4004,	532
-1.2744,	554
-0.4810,	578
-1.8450,	529
1.6909,	495
-1.2919,	555
-2.7081,	483
-0.1893,	560
-1.1697,	548
-2.1660,	488
-0.6437,	567
0.8358,	469
1.1082,	499
-1.4798,	496
-0.1157,	579
-0.5375,	573
-0.5027,	559
-0.5219,	548
-0.7236,	550
0.2246,	552
0.0752,	505
-0.6517,	534
-0.5895,	553
-1.0429,	490
1.6449,	445
-1.8724,	525
