
Left power from force,Vector size

-3.4091,	550
-4.7449,	537
-2.3508,	533
-5.2873,	543
-3.4918,	549
-5.1383,	528
-5.2603,	511
-4.0202,	544
-3.9225,	555
-2.1113,	557
-5.4859,	568
-3.1931,	554
-5.4075,	557
-3.3680,	557
-2.9259,	553
-5.6584,	527
-1.0966,	466
23.6174,	149
nan,	0
-30.6172,	128
-21.0688,	218
5.3955,	397
-16.0603,	199
-3.7735,	574
-2.1655,	568
-4.3982,	570
-3.2737,	570
-2.9425,	487
-4.7258,	547
-3.6551,	461
-29.8954,	153
-5.4493,	69
-2.9605,	76
-3.0263,	76
-4.5652,	69
-3.4342,	76
-3.2368,	76
-4.9474,	76
-3.3947,	76
-2.4337,	83
-6.5942,	69
-2.1316,	76
-3.9114,	79
-2.7500,	76
-3.0260,	77
-3.1899,	79
-5.6667,	69
-3.0000,	76
-1.7200,	75
-5.2432,	74
-2.6250,	72
-2.5789,	76
-4.4342,	76
-2.6957,	69
-2.3373,	83
-2.0411,	73
-5.9583,	72
-2.8947,	76
-3.2632,	76
-5.1842,	76
-2.6447,	76
-3.1447,	76
-1.6957,	69
-4.0395,	76
-1.6667,	81
-2.7600,	75
-3.9167,	72
-3.7246,	69
-2.7237,	76
-4.1739,	69
-3.6184,	76
