
Left power from force,Vector size

-3.3556,	540
-3.5865,	561
-3.7442,	434
-3.2092,	545
-3.7979,	559
-4.0993,	544
0.0892,	471
-4.1158,	501
-3.6195,	452
-3.5044,	573
-3.3298,	564
-1.9617,	496
-2.0765,	510
-3.1045,	555
-2.8219,	483
-4.2032,	561
-3.4347,	559
-2.3377,	539
-3.3944,	573
-3.4162,	567
-2.6293,	553
-3.1038,	559
-3.6381,	561
-4.2483,	439
-3.7293,	569
-3.1009,	555
-3.5489,	552
-1.0081,	496
-2.7917,	528
-5.2312,	506
-3.6480,	571
-0.6262,	511
-3.9005,	553
-2.9853,	545
-2.4870,	540
-3.2937,	555
-3.3612,	562
-2.6429,	546
-3.4369,	547
-3.7264,	541
-2.5733,	525
-5.5212,	520
-2.9947,	563
-0.8818,	516
-4.3760,	508
-5.4304,	474
-3.6064,	559
-3.3293,	574
-3.2794,	562
-2.9320,	544
-4.5566,	539
-3.4703,	555
-2.3876,	534
-3.6107,	560
-2.8067,	564
-2.8662,	583
-3.0107,	562
-3.4928,	558
-2.8626,	546
-1.2062,	485
-4.2722,	518
-3.0189,	475
-3.5496,	564
-3.2527,	558
-3.2537,	536
-5.6995,	436
-3.7477,	543
-4.9981,	516
-3.3918,	559
-0.5115,	477
-1.9286,	490
-5.7903,	496
-2.5883,	515
-3.5189,	555
-5.3314,	510
