
Left power from force,Vector size

-0.7027,	74
-0.3043,	69
-3.5132,	76
-1.6447,	76
-2.7632,	76
-3.9211,	76
-2.1884,	69
-1.1316,	76
-2.0395,	76
-4.3333,	69
-1.1053,	76
0.1579,	76
-2.3026,	76
-1.6974,	76
-2.7500,	76
-2.3913,	69
-1.5658,	76
-2.4474,	76
-3.3158,	76
-1.9342,	76
-4.3976,	83
-3.1594,	69
-1.8684,	76
-2.9474,	76
-1.7105,	76
-4.1449,	69
-4.0843,	83
-3.4474,	76
-4.0290,	69
-3.3947,	76
-2.5789,	76
-2.9028,	72
-2.6076,	79
-2.5429,	70
-2.8289,	76
-3.5600,	75
-6.3857,	70
-2.1579,	76
-2.5797,	69
-3.7246,	69
0.1757,	74
-3.6761,	71
-2.2105,	76
-1.9880,	83
-4.5000,	76
-1.7101,	69
-3.3889,	72
-3.0274,	73
-6.3947,	76
-2.2105,	76
-3.0000,	76
-3.4737,	76
-1.9211,	76
-2.6974,	76
-2.4737,	76
-4.0263,	76
-4.6711,	76
-2.5333,	75
-3.8000,	70
-2.3614,	83
-5.3026,	76
-3.0870,	69
-2.7683,	82
-3.3286,	70
-2.3684,	76
-3.1053,	76
-4.2609,	69
-3.3333,	69
-1.9737,	76
-3.8406,	69
-4.2632,	76
-3.0395,	76
-2.4211,	76
-4.6711,	76
-2.4789,	71
