
Left power from force,Vector size

-1.2609,	69
-2.3289,	76
-3.0870,	69
-2.0658,	76
-3.6774,	62
-0.9211,	76
-3.3014,	73
-1.5676,	74
-2.3108,	74
-2.6579,	76
-6.4231,	104
-12.5066,	152
-3.3457,	457
-1.8197,	466
-0.6621,	512
-3.2955,	440
-0.4483,	435
-6.0286,	420
-3.0748,	468
-0.9928,	416
-2.6474,	485
-1.0056,	537
-3.4209,	430
-1.8462,	520
-0.8644,	435
-3.2722,	485
-1.3453,	475
-3.5515,	515
-1.0018,	560
-4.1165,	515
-2.2265,	565
-2.0629,	556
-2.1586,	498
-3.6883,	462
-0.6004,	518
-1.3468,	568
-3.7329,	569
-3.1585,	568
-2.2292,	576
-5.3932,	501
-2.7528,	530
-3.4183,	557
-1.5268,	410
-3.1303,	468
-3.6348,	534
-1.2528,	542
-4.3972,	496
-4.2648,	540
-4.0914,	547
-1.4534,	536
-4.6459,	545
-3.7604,	555
-2.0372,	565
-1.1275,	494
-2.6789,	489
-2.5453,	552
-1.4879,	496
-1.6243,	503
-3.7951,	532
-1.1761,	528
-2.3485,	505
-0.2885,	520
-3.1216,	510
-1.7748,	564
-2.3743,	569
-2.7855,	564
-0.4719,	551
-3.7623,	551
-1.3646,	554
-2.3598,	503
-1.7753,	583
