
Left power from force,Vector size

-2.8684,	76
-2.8158,	76
-3.7536,	69
-3.5921,	76
-1.9306,	72
-3.1625,	80
-2.3816,	76
-2.9737,	76
-3.0658,	76
-3.0435,	69
-2.0921,	76
-1.4125,	80
-4.0139,	72
-2.3947,	76
-2.2237,	76
-2.7105,	76
-1.9868,	76
-3.0789,	76
-1.7083,	72
-2.5753,	73
-2.5132,	76
-1.8108,	74
-2.7042,	71
-2.4189,	74
-3.1549,	71
-2.5395,	76
-2.7971,	69
-2.4605,	76
-0.8816,	76
-2.7101,	69
-1.5789,	76
-2.1739,	69
-2.5263,	76
-2.1184,	76
-3.1579,	76
-2.4868,	76
-3.1159,	69
-2.4744,	78
-2.1667,	78
-3.5316,	79
-3.5652,	69
-2.3289,	76
-3.3421,	76
-2.3467,	75
-3.3286,	70
-3.0789,	76
-3.0580,	69
-2.1184,	76
-2.7368,	76
-3.0526,	76
-2.5942,	69
-2.8421,	76
-2.1316,	76
-2.5921,	76
-2.1184,	76
-2.3158,	76
-2.6579,	76
-2.6316,	76
-3.2237,	76
-2.6711,	76
-2.1842,	76
-3.3947,	76
-1.5526,	76
-3.4085,	71
-2.6622,	74
-1.7763,	76
-1.7237,	76
-1.8625,	80
-2.2658,	79
-2.2368,	76
-2.9605,	76
-3.4342,	76
-2.6053,	76
-1.4868,	76
-1.7368,	76
