
Left power from force,Vector size

-4.6479,	71
-3.9474,	76
-3.6711,	76
-4.2319,	69
-4.4211,	76
-3.3188,	69
-3.6184,	76
-3.4928,	69
-3.8289,	76
-4.1304,	69
-3.0789,	76
-3.5789,	76
-3.2105,	76
-3.5526,	76
-5.3623,	69
-3.0263,	76
-3.3043,	69
-5.1449,	69
-1.7368,	76
-4.4783,	69
-4.7763,	76
-2.9605,	76
-1.5270,	74
-2.1026,	78
-5.5217,	69
-3.2632,	76
-4.4474,	76
-3.2895,	76
-4.0548,	73
-2.6962,	79
-3.8933,	75
-2.7662,	77
-3.4795,	73
-4.8611,	72
-2.7895,	76
-4.4211,	76
-2.5352,	71
-3.1081,	74
-2.1316,	76
-2.9211,	76
-3.8267,	75
-5.5000,	70
-2.3816,	76
-2.7105,	76
-4.3947,	76
-3.7632,	76
-4.2237,	76
-2.5676,	74
-2.4231,	78
-4.0395,	76
-3.3043,	69
-1.8434,	83
-2.3421,	76
-5.6232,	69
-3.4605,	76
-3.4737,	76
-2.3026,	76
-2.2237,	76
-3.5072,	69
-2.6316,	76
-3.9474,	76
-4.1053,	76
-3.5921,	76
-3.8947,	76
-3.0602,	83
-3.8116,	69
-2.0132,	76
-4.1014,	69
-3.0395,	76
-3.4737,	76
-3.3421,	76
-3.2278,	79
-2.2125,	80
-5.7246,	69
-2.1447,	76
