
Left power from force,Vector size

-2.5610,	549
-2.4355,	581
-2.8610,	554
-1.4623,	530
-2.1295,	440
-0.7724,	457
-2.7964,	501
-0.5391,	447
-1.8396,	449
-1.1141,	412
-1.4103,	446
-2.0534,	431
-2.8256,	476
-2.3422,	453
-1.6472,	513
-0.7431,	397
-1.7007,	538
-2.3052,	462
-2.8768,	479
-1.7962,	530
-1.5768,	449
-2.4856,	556
-0.2981,	473
-1.7384,	558
-1.9592,	466
-2.8250,	480
-1.9921,	504
-2.6134,	432
-6.1571,	503
-2.6623,	533
-7.0401,	449
-1.7770,	408
-2.6851,	505
-0.0079,	508
-2.9872,	470
0.6871,	489
-2.0589,	543
-2.3958,	528
-1.7482,	544
-0.5907,	496
0.3861,	531
-1.8099,	484
-2.2128,	517
-2.7229,	516
-3.6835,	496
-1.1410,	525
-1.8681,	523
-4.8590,	539
-6.2716,	486
-1.9925,	532
-0.3125,	496
-3.3308,	517
-1.9576,	519
-3.0907,	463
-0.9134,	543
-0.9640,	444
-1.4991,	567
-2.1131,	557
-2.5210,	499
-2.0610,	541
-0.4583,	515
-1.5229,	545
-2.3793,	551
-2.3170,	429
-2.0416,	553
-3.1892,	555
-0.5776,	483
0.2993,	461
0.1648,	358
-2.8939,	462
-1.2461,	451
-3.7002,	507
-2.6798,	506
-2.0000,	445
-2.9011,	435
