
Left power from force,Vector size

0.0000,	69
-1.5484,	62
-4.3091,	55
-1.6909,	55
-4.3623,	69
-2.0132,	76
-2.8026,	76
-2.9730,	74
-2.0000,	75
-2.1266,	79
-3.8800,	75
-2.3649,	74
-1.3797,	79
-4.0870,	69
-2.6316,	76
-4.3043,	69
-2.2237,	76
-3.7895,	76
-2.2895,	76
-3.4079,	76
-3.7027,	74
-2.4487,	78
-2.3553,	76
-2.3200,	75
-3.3429,	70
-3.3553,	76
-2.8421,	76
-1.6974,	76
-1.7500,	76
-3.8986,	69
-2.9737,	76
-3.7971,	69
-1.8026,	76
-3.6579,	76
-3.3333,	72
-1.5625,	80
-2.9868,	76
-2.9868,	76
-2.7237,	76
-2.7500,	76
-4.4058,	69
-1.4444,	81
-2.3944,	71
-3.1053,	76
-2.4737,	76
-3.2754,	69
-1.4533,	75
-3.4714,	70
-2.4737,	76
-3.9342,	76
-2.2105,	76
-4.2464,	69
-2.8553,	76
-2.2895,	76
-4.2817,	71
-3.0946,	74
-3.2632,	76
-2.1842,	76
-1.7368,	76
-2.5000,	76
-3.8986,	69
-2.0132,	76
-0.9630,	81
-3.8718,	78
-3.0395,	76
-1.7763,	76
-3.8261,	69
-1.2237,	76
