
Left power from force,Vector size

-3.9105,	570
-5.8218,	522
-3.7697,	547
-4.0037,	547
-4.0287,	558
-1.6240,	500
-5.0036,	556
-3.5964,	555
-1.9602,	503
-5.0037,	535
-3.6118,	510
-3.6179,	560
-3.8939,	556
-3.8464,	560
-3.1153,	555
-3.4495,	545
-3.2628,	487
-2.3439,	506
-5.4070,	516
-4.1011,	544
-0.8553,	477
-4.5047,	531
-5.3822,	484
-4.4222,	585
-3.9930,	570
-3.5408,	564
-0.6009,	466
-7.1450,	538
-3.7754,	570
-2.7688,	506
-5.0404,	545
-5.7927,	468
-4.4924,	589
-3.6690,	568
-4.2286,	560
-3.8851,	557
-4.1865,	547
-3.5794,	554
-3.9715,	561
-3.4580,	559
-4.2435,	464
-3.6243,	567
-3.5640,	555
-2.8457,	525
-4.3818,	537
-3.1031,	417
-4.1385,	426
-4.1349,	393
-6.2691,	524
-2.2431,	473
-3.8959,	557
-4.0297,	539
-2.5271,	499
-2.7625,	480
-5.7293,	495
-3.3085,	564
-3.3345,	562
-6.6667,	480
-1.8693,	505
-5.5836,	550
-3.2375,	560
-3.5545,	550
-3.6636,	544
-3.6649,	567
-3.7326,	561
-3.6497,	511
-5.1434,	509
-2.8497,	539
-2.2584,	507
-3.4614,	531
-5.2758,	446
-3.7778,	558
-4.2724,	536
-2.3756,	450
-3.1775,	507
-5.3153,	498
