
Left power from force,Vector size

-0.2368,	76
-1.1184,	76
-1.4737,	76
-1.4058,	69
-0.8289,	76
-0.4054,	74
-1.2535,	71
-0.7590,	83
-1.2222,	72
-1.3288,	73
-1.4474,	76
-0.8861,	79
-1.3562,	73
-1.2632,	76
-0.4730,	74
-2.4648,	71
0.0263,	76
-1.4474,	76
-1.5217,	69
-1.8158,	76
-0.3947,	76
-1.1447,	76
-2.1842,	76
-0.5789,	76
-1.0526,	76
-0.7681,	69
-1.0132,	76
-1.1711,	76
-1.3478,	69
-0.5395,	76
-1.3026,	76
-0.3158,	76
-2.1884,	69
-1.0789,	76
-0.3158,	76
-0.4211,	76
-0.8732,	71
-1.2838,	74
-0.3816,	76
-1.0946,	74
-0.7534,	73
-1.7432,	74
-2.2895,	76
-0.9868,	76
-0.4783,	69
-0.8289,	76
-0.0789,	76
-1.6957,	69
-1.1566,	83
-0.5733,	75
-1.6143,	70
-0.9342,	76
-2.6957,	69
-2.0789,	76
-1.4474,	76
-1.7971,	69
-0.7105,	76
-1.9079,	76
-1.5132,	76
-12.5612,	139
-0.6711,	76
-1.3684,	76
-1.7971,	69
-1.2763,	76
-0.7895,	76
-1.8684,	76
-1.8026,	76
