
Left power from force,Vector size

-3.4416,	77
-4.3974,	78
-4.4783,	69
-5.0145,	69
-3.2763,	76
-3.8684,	76
-2.3494,	83
-5.0139,	72
-5.6301,	73
-2.7808,	73
-3.7500,	72
-5.0870,	69
-3.4605,	76
-6.5652,	69
-4.6377,	69
-4.4493,	69
-3.3684,	76
-4.1974,	76
-5.5405,	74
-4.8592,	71
-4.2632,	76
-3.7500,	76
-5.5362,	69
-3.5789,	76
-2.8421,	76
-4.0132,	76
-3.9474,	76
-4.4342,	76
-4.3816,	76
-2.8553,	76
-4.5658,	76
-5.0000,	69
-4.0658,	76
-4.6053,	76
-2.9868,	76
-4.5000,	76
-3.5132,	76
-2.5921,	76
-3.9130,	69
-2.4342,	76
-4.0658,	76
-2.9868,	76
-4.7632,	76
-2.9342,	76
-2.8684,	76
-3.1594,	69
-3.9211,	76
-5.5942,	69
-1.8816,	76
-3.5395,	76
-5.6812,	69
-3.8553,	76
-5.3947,	76
-5.2464,	69
-3.9605,	76
-4.1014,	69
-4.2895,	76
-4.7895,	76
-10.0800,	100
15.0638,	47
-37.6667,	3
-3.9896,	385
-10.2520,	123
19.8322,	143
-16.0498,	321
-5.4492,	443
-4.4032,	496
-0.0891,	449
-3.3490,	467
-3.6546,	524
-1.7923,	467
-3.0276,	507
-4.7808,	479
