
Left power from force,Vector size

-2.5261,	536
1.1337,	486
-7.5126,	515
-5.3045,	440
-4.6955,	578
-1.9171,	579
-2.9720,	572
-1.5816,	533
-3.6561,	535
-3.8717,	561
0.0359,	502
-4.5438,	548
1.2198,	455
-3.6016,	512
0.4697,	479
-1.3175,	548
-4.4137,	556
-2.6252,	555
-4.3178,	538
-3.1133,	556
-5.5413,	460
0.7930,	454
-2.4933,	525
-4.2120,	552
-2.7122,	556
-1.5331,	499
-0.4854,	478
-4.9011,	536
-2.3561,	556
-1.9647,	566
-3.6042,	566
-1.1142,	499
-8.3227,	471
-1.6585,	451
-3.2807,	513
-3.0131,	534
0.0476,	441
-1.8425,	489
-5.0688,	523
-3.7655,	580
-0.9787,	564
-4.3821,	560
-3.9904,	523
-2.7083,	552
-3.8043,	562
-4.9179,	475
-4.8851,	557
-0.0622,	498
-6.0165,	486
-2.2079,	433
-1.7933,	566
-3.5616,	568
-2.6088,	565
-4.8619,	572
-1.6724,	580
-3.6825,	567
-2.1504,	512
-2.9790,	571
-3.6698,	539
-4.1976,	501
-4.6511,	450
-2.4017,	575
-5.2182,	582
-2.9385,	585
-2.6127,	599
-3.0274,	583
-2.8400,	575
-5.1635,	575
0.9774,	486
-1.0317,	442
-3.8190,	464
-3.0371,	512
-4.8150,	508
-3.6818,	484
-2.5869,	518
