
Left power from force,Vector size

-3.8579,	542
-1.1342,	477
-2.9707,	546
-4.5543,	534
-5.6679,	524
-6.9567,	462
-3.9766,	470
-6.8099,	563
-5.3481,	563
-6.5389,	566
-4.2671,	584
-2.5010,	495
-3.5740,	507
-3.7557,	524
-3.3580,	567
-1.1341,	537
-2.7915,	470
-0.6425,	428
-7.9486,	467
-7.5000,	510
-5.8419,	430
-2.5793,	580
-4.3755,	554
-1.9559,	522
-3.4076,	552
-4.1241,	548
-3.8769,	471
-6.2671,	569
-5.9914,	579
-5.2151,	558
-5.0341,	528
-4.3145,	496
-4.0961,	583
-3.6434,	544
-2.1561,	519
-4.6982,	560
-4.2110,	455
-3.2298,	557
-2.9706,	613
-4.8449,	574
-3.7886,	563
-0.5779,	526
-3.8887,	494
-2.6582,	550
-3.3214,	557
-2.2301,	565
-4.5588,	510
-2.8882,	456
-1.9583,	576
-4.0566,	548
-1.9481,	539
-1.9186,	553
-1.5974,	539
-1.4473,	474
-4.7960,	505
-2.3942,	482
-4.1701,	482
-1.4018,	550
-0.8452,	491
-2.6710,	544
-2.6380,	558
-0.9705,	475
-0.9495,	535
-3.1529,	543
-2.0249,	563
-2.8539,	575
-0.8066,	517
-1.3665,	483
-4.7466,	521
-1.1477,	555
-2.3206,	577
-2.7883,	529
-3.3385,	449
-3.1939,	557
-3.7486,	545
-3.9055,	508
