
Left power from force,Vector size

-2.5065,	77
-3.3158,	76
-4.3043,	69
-1.4337,	83
-4.1579,	76
-3.6087,	69
-1.6974,	76
-3.3947,	76
-3.6667,	69
-2.7368,	76
-1.2895,	76
-4.2899,	69
-2.2895,	76
-2.5263,	76
-5.9130,	69
-2.2533,	75
-4.8286,	70
-1.3976,	83
-3.8841,	69
-4.3056,	72
-1.8625,	80
-5.2174,	69
-2.9342,	76
-2.6145,	83
-4.4638,	69
-2.2933,	75
-5.2174,	69
-2.9143,	70
-3.3553,	76
-4.1449,	69
-1.3373,	83
-4.0580,	69
-3.0000,	69
-2.6747,	83
-4.1304,	69
-1.7500,	76
-4.1304,	69
-2.1842,	76
-3.2237,	76
-3.9855,	69
-2.4079,	76
-3.7917,	72
-1.1918,	73
-3.4868,	76
-2.9333,	75
-4.4110,	73
-3.3014,	73
-3.1447,	76
-3.2763,	76
-2.5652,	69
-3.1711,	76
-3.6957,	69
-4.1884,	69
-3.2368,	76
-1.9036,	83
-4.4638,	69
-1.9342,	76
-2.5000,	76
-3.4605,	76
-2.2400,	75
-4.3766,	77
-3.0270,	74
-4.2676,	71
-2.0132,	76
-3.6184,	76
-6.1304,	69
-2.6053,	76
-4.5132,	76
-3.4079,	76
-5.0870,	69
-2.5181,	83
-3.5362,	69
-4.1184,	76
-4.1579,	76
-4.3947,	76
